elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 53157, 1019, 17724.0, 15689.1, 40192.9, 61414.4, 80692.2, 234028, 0
20, 10, 53950, 794, 17432.1, 15087.8, 41091.7, 64693.2, 104920.8, 109334, 0
30, 10, 53020, 955, 17746.0, 15586.8, 41750.0, 62234.2, 92103.8, 226575, 0
40, 10, 53663, 777, 17516.4, 15225.3, 38294.2, 61354.6, 104547.7, 228426, 0
50, 10, 54353, 886, 17226.3, 14840.3, 40028.0, 62216.3, 102132.3, 269281, 0
60, 10, 54964, 574, 17056.6, 14271.2, 40747.8, 61636.3, 70909.9, 268663, 0
70, 10, 52184, 764, 18103.0, 15328.1, 43552.2, 65146.8, 73901.3, 231081, 0
80, 10, 52552, 974, 17940.0, 15170.1, 40309.3, 63769.5, 223181.0, 252415, 0
90, 10, 53017, 822, 17775.7, 14454.5, 43720.3, 66863.1, 85497.9, 268102, 0
100, 10, 50866, 819, 18397.5, 15823.1, 43755.8, 66421.2, 201141.7, 245829, 0
110, 10, 52254, 702, 17975.9, 15575.9, 42010.5, 63745.3, 218468.2, 247271, 0
120, 10, 53670, 742, 17446.9, 14905.3, 38665.8, 63769.1, 92666.5, 254173, 0
130, 10, 52523, 807, 18031.6, 15481.6, 41953.0, 65070.1, 88559.6, 281908, 0
140, 10, 51746, 780, 18184.7, 15847.6, 43247.0, 66105.6, 79510.6, 259325, 0
150, 10, 52418, 796, 17918.5, 15237.3, 42684.2, 69591.9, 88197.8, 254743, 0
160, 10, 54634, 777, 17302.5, 14673.2, 39801.2, 61765.4, 74947.2, 238440, 0
170, 10, 52738, 968, 17840.3, 15686.8, 42918.1, 67883.6, 231065.5, 250287, 0
180, 10, 52618, 763, 17839.6, 14940.9, 41239.9, 63247.7, 195799.4, 230371, 0
190, 10, 54475, 906, 17228.8, 14972.4, 39480.9, 61492.5, 77626.3, 237723, 0
200, 10, 53919, 766, 17469.1, 15214.3, 40102.3, 58295.2, 75189.2, 245308, 0
210, 10, 52265, 675, 17958.4, 14614.3, 42781.3, 65829.9, 193405.6, 288200, 0
220, 10, 53090, 688, 17593.2, 14656.4, 42004.2, 66659.2, 226727.5, 239583, 0
230, 10, 53963, 670, 17681.4, 15380.3, 41394.3, 63623.7, 158475.9, 225776, 0
240, 10, 54424, 767, 17297.6, 14752.9, 39865.1, 64877.6, 74939.4, 226608, 0
250, 10, 52421, 721, 17735.6, 15268.4, 41469.3, 62344.3, 199611.8, 228362, 0
260, 10, 54335, 849, 17349.9, 15163.4, 39376.7, 64558.9, 80020.8, 264531, 0
270, 10, 52805, 786, 17833.1, 15059.7, 41247.4, 66284.4, 105699.7, 269278, 0
280, 10, 54000, 997, 17368.9, 14798.8, 38864.0, 63489.6, 91400.0, 243849, 0
290, 10, 53688, 798, 17452.4, 14963.1, 43067.2, 63490.8, 190269.5, 230072, 0
