elapsed, window, total, successful, failed
10, 10, 53157, 53157, 0
20, 10, 53950, 53950, 0
30, 10, 53020, 53020, 0
40, 10, 53663, 53663, 0
50, 10, 54353, 54353, 0
60, 10, 54964, 54964, 0
70, 10, 52184, 52184, 0
80, 10, 52552, 52552, 0
90, 10, 53017, 53017, 0
100, 10, 50866, 50866, 0
110, 10, 52254, 52254, 0
120, 10, 53670, 53670, 0
130, 10, 52523, 52523, 0
140, 10, 51746, 51746, 0
150, 10, 52418, 52418, 0
160, 10, 54634, 54634, 0
170, 10, 52738, 52738, 0
180, 10, 52618, 52618, 0
190, 10, 54475, 54475, 0
200, 10, 53919, 53919, 0
210, 10, 52265, 52265, 0
220, 10, 53090, 53090, 0
230, 10, 53963, 53963, 0
240, 10, 54424, 54424, 0
250, 10, 52421, 52421, 0
260, 10, 54335, 54335, 0
270, 10, 52805, 52805, 0
280, 10, 54000, 54000, 0
290, 10, 53688, 53688, 0
300, 10, 53750, 53750, 0
310, 10, 52654, 52654, 0
320, 10, 54190, 54190, 0
330, 10, 54779, 54779, 0
340, 10, 51278, 51278, 0
350, 10, 52636, 52636, 0
360, 10, 53019, 53019, 0
370, 10, 53299, 53299, 0
380, 10, 53668, 53668, 0
390, 10, 53294, 53294, 0
400, 10, 53606, 53606, 0
410, 10, 53443, 53443, 0
420, 10, 54183, 54183, 0
430, 10, 52741, 52741, 0
440, 10, 52272, 52272, 0
450, 10, 53181, 53181, 0
460, 10, 55027, 55027, 0
470, 10, 54994, 54994, 0
480, 10, 52621, 52621, 0
490, 10, 55839, 55839, 0
500, 10, 54674, 54674, 0
510, 10, 55237, 55237, 0
520, 10, 54824, 54824, 0
530, 10, 54149, 54149, 0
540, 10, 55423, 55423, 0
550, 10, 53073, 53073, 0
560, 10, 52549, 52549, 0
570, 10, 53432, 53432, 0
580, 10, 53846, 53846, 0
590, 10, 53492, 53492, 0
600, 10, 53010, 53010, 0
601, 1, 4533, 4533, 0
