elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 6714, 1445, 146004.8, 108273.8, 549075.0, 931607.5, 1323571.5, 2018325, 0
20, 10, 8365, 1317, 119048.9, 73865.0, 408093.8, 938293.8, 1655158.8, 2051268, 0
30, 10, 14165, 1222, 70848.6, 50777.0, 193187.5, 625337.5, 988958.7, 1249400, 0
40, 10, 21121, 878, 47594.1, 34172.9, 118309.4, 450697.5, 769219.8, 1438049, 0
50, 10, 27134, 836, 36645.3, 26072.1, 78308.9, 324915.0, 854216.5, 1400905, 0
60, 10, 26670, 740, 37209.8, 24474.5, 70041.7, 423787.5, 1156332.5, 1261718, 0
70, 10, 38054, 660, 26085.9, 18422.2, 61316.2, 171788.3, 769243.3, 1516542, 0
80, 10, 41860, 638, 23534.2, 18266.1, 48325.0, 125450.0, 577285.0, 1255011, 0
90, 10, 51625, 600, 19103.9, 14133.2, 39351.1, 117572.9, 425343.8, 796754, 0
100, 10, 60749, 532, 15916.2, 11237.9, 39798.7, 94646.3, 245812.7, 708344, 0
110, 10, 72798, 565, 13101.5, 7948.1, 35933.0, 76071.8, 154550.5, 379730, 0
120, 10, 74142, 561, 12911.1, 8064.7, 35568.1, 79293.9, 139714.5, 221643, 0
130, 10, 73420, 558, 12999.2, 7972.7, 36504.4, 80950.0, 131322.5, 320554, 0
140, 10, 73738, 551, 12924.6, 7986.7, 35789.9, 78200.4, 127157.8, 216855, 0
150, 10, 74977, 587, 12686.0, 8163.5, 35451.7, 77793.9, 117755.8, 204797, 0
160, 10, 76190, 561, 12581.5, 7882.9, 36672.9, 74002.8, 124202.5, 264937, 0
170, 10, 75408, 592, 12659.8, 8464.4, 32844.9, 72587.9, 148398.0, 364926, 0
180, 10, 73297, 550, 13041.0, 8237.4, 35824.3, 82929.6, 206837.9, 525646, 0
190, 10, 73837, 564, 12959.1, 8100.1, 33800.7, 80396.7, 232040.8, 546204, 0
200, 10, 72308, 582, 13305.0, 8177.8, 36470.0, 86646.0, 147961.5, 373025, 0
210, 10, 73098, 587, 13154.7, 8150.1, 35861.5, 85001.0, 180975.5, 395571, 0
220, 10, 73485, 559, 13026.7, 8136.6, 36882.8, 82378.7, 131292.9, 414538, 0
230, 10, 74064, 566, 12930.5, 8394.4, 34742.7, 77507.5, 156484.0, 334251, 0
240, 10, 73715, 577, 12863.1, 8114.0, 36037.3, 80601.0, 169314.3, 215291, 0
250, 10, 73025, 558, 13181.2, 8186.2, 34945.1, 89835.9, 209998.4, 483659, 0
260, 10, 75341, 555, 12726.9, 8124.1, 36204.7, 75189.1, 130164.7, 401514, 0
