elapsed, window, total, successful, failed
10, 10, 6714, 6714, 0
20, 10, 8365, 8365, 0
30, 10, 14165, 14165, 0
40, 10, 21121, 21121, 0
50, 10, 27134, 27134, 0
60, 10, 26670, 26670, 0
70, 10, 38054, 38054, 0
80, 10, 41860, 41860, 0
90, 10, 51625, 51625, 0
100, 10, 60749, 60749, 0
110, 10, 72798, 72798, 0
120, 10, 74142, 74142, 0
130, 10, 73420, 73420, 0
140, 10, 73738, 73738, 0
150, 10, 74977, 74977, 0
160, 10, 76190, 76190, 0
170, 10, 75408, 75408, 0
180, 10, 73297, 73297, 0
190, 10, 73837, 73837, 0
200, 10, 72308, 72308, 0
210, 10, 73098, 73098, 0
220, 10, 73485, 73485, 0
230, 10, 74064, 74064, 0
240, 10, 73715, 73715, 0
250, 10, 73025, 73025, 0
260, 10, 75341, 75341, 0
270, 10, 73226, 73226, 0
280, 10, 75229, 75229, 0
290, 10, 73398, 73398, 0
300, 10, 75148, 75148, 0
310, 10, 70612, 70612, 0
320, 10, 74264, 74264, 0
330, 10, 72499, 72499, 0
340, 10, 75069, 75069, 0
350, 10, 73661, 73661, 0
360, 10, 76079, 76079, 0
370, 10, 73166, 73166, 0
380, 10, 73818, 73818, 0
390, 10, 75127, 75127, 0
400, 10, 74528, 74528, 0
410, 10, 72592, 72592, 0
420, 10, 74931, 74931, 0
430, 10, 73424, 73424, 0
440, 10, 74572, 74572, 0
450, 10, 74031, 74031, 0
460, 10, 72470, 72470, 0
470, 10, 73421, 73421, 0
480, 10, 73917, 73917, 0
490, 10, 73547, 73547, 0
500, 10, 73823, 73823, 0
510, 10, 74492, 74492, 0
520, 10, 75185, 75185, 0
530, 10, 73335, 73335, 0
540, 10, 73877, 73877, 0
550, 10, 73170, 73170, 0
560, 10, 76744, 76744, 0
570, 10, 74261, 74261, 0
580, 10, 73536, 73536, 0
590, 10, 73024, 73024, 0
600, 10, 75042, 75042, 0
601, 1, 6095, 6095, 0
