elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 5608, 1961, 175615.4, 84750.0, 694900.0, 2142730.0, 2569598.0, 3594516, 0
20, 10, 8625, 1662, 116532.1, 69908.3, 400968.8, 781687.5, 1271593.8, 1836515, 0
30, 10, 9133, 1479, 108222.6, 54367.2, 387837.5, 754917.5, 1216716.8, 1565823, 0
40, 10, 12634, 1009, 79547.4, 39205.9, 304075.0, 636915.0, 1079091.5, 1499661, 0
50, 10, 21255, 813, 47355.6, 26087.8, 173687.5, 435862.5, 890936.2, 1850618, 0
60, 10, 25653, 754, 38609.4, 25059.2, 119369.6, 329117.5, 824086.8, 1279480, 0
70, 10, 28136, 689, 35475.5, 24089.0, 109155.0, 292205.0, 694966.0, 1077361, 0
80, 10, 32473, 676, 30436.5, 21378.7, 88823.4, 210067.5, 618131.7, 969566, 0
90, 10, 37453, 662, 26400.8, 19402.4, 71988.4, 156455.8, 574386.7, 897294, 0
100, 10, 42330, 586, 23379.6, 17432.8, 56743.8, 133425.0, 462167.5, 765361, 0
110, 10, 53100, 533, 18340.6, 13768.7, 48419.4, 91906.3, 191725.0, 518709, 0
120, 10, 54068, 552, 18161.1, 13041.3, 49860.4, 103207.5, 276233.0, 551101, 0
130, 10, 55073, 566, 17764.6, 13700.9, 44304.7, 84079.4, 214481.8, 474345, 0
140, 10, 55212, 554, 17677.7, 12396.7, 49195.0, 89656.4, 204598.5, 577168, 0
150, 10, 55483, 547, 17539.0, 13054.9, 47600.4, 89885.6, 178689.6, 319338, 0
160, 10, 55075, 568, 17712.7, 13081.4, 48002.2, 94656.3, 260731.3, 422901, 0
170, 10, 54270, 564, 17962.0, 13605.7, 49218.8, 88179.2, 220932.5, 485002, 0
180, 10, 54046, 560, 18184.6, 13761.0, 46016.3, 102658.8, 282488.5, 536577, 0
190, 10, 55862, 547, 17466.0, 12190.4, 49469.0, 93260.6, 182284.5, 445448, 0
200, 10, 55060, 561, 17713.2, 12301.7, 50862.1, 90353.8, 193485.0, 462496, 0
210, 10, 54933, 556, 17779.3, 13386.3, 49269.0, 88141.7, 192266.8, 369034, 0
220, 10, 53466, 562, 18253.8, 12678.0, 47664.6, 88567.0, 352566.7, 842715, 0
230, 10, 55171, 578, 17723.2, 12344.8, 50905.6, 99296.1, 204207.2, 438903, 0
240, 10, 56059, 543, 17450.3, 12528.6, 50141.4, 90175.2, 186578.4, 353508, 0
250, 10, 55351, 551, 17688.1, 13152.5, 48661.6, 88187.2, 177412.2, 346333, 0
260, 10, 54794, 557, 17768.5, 12931.1, 47988.3, 90353.0, 212517.2, 444103, 0
270, 10, 55642, 568, 17586.8, 13214.8, 46103.5, 87949.3, 188839.5, 438207, 0
280, 10, 54782, 556, 17782.3, 12960.8, 46679.7, 97809.0, 231777.3, 436598, 0
290, 10, 55152, 547, 17643.1, 13128.6, 48913.6, 88020.0, 181231.0, 442488, 0
300, 10, 56433, 557, 17300.9, 12526.5, 48445.7, 94604.4, 223820.9, 572976, 0
310, 10, 55461, 566, 17644.6, 13221.5, 44551.3, 84619.5, 242384.7, 450092, 0
320, 10, 53505, 583, 18173.7, 13699.1, 44838.8, 88797.5, 316374.6, 433253, 0
330, 10, 55935, 530, 17502.5, 13263.6, 43200.4, 86212.5, 243516.3, 595576, 0
340, 10, 55325, 589, 17604.0, 12478.2, 51610.8, 97237.5, 208168.8, 357726, 0
350, 10, 55454, 538, 17596.4, 13010.6, 49157.8, 88889.4, 209818.3, 514130, 0
360, 10, 54516, 566, 17882.7, 12894.8, 49438.9, 99172.9, 203374.2, 400027, 0
370, 10, 55911, 577, 17384.6, 12917.9, 49312.1, 87555.6, 175772.2, 458614, 0
380, 10, 56069, 526, 17358.1, 12559.2, 48541.9, 88211.6, 166732.7, 519888, 0
390, 10, 54916, 577, 17784.9, 12919.5, 47706.2, 101137.1, 203423.7, 512059, 0
400, 10, 54556, 536, 17879.6, 12882.7, 49741.7, 95857.5, 182611.0, 413692, 0
410, 10, 54870, 566, 17810.7, 13056.2, 51599.0, 91912.5, 188532.5, 532607, 0
420, 10, 53821, 555, 18100.8, 13070.5, 46534.1, 92907.9, 339022.4, 458405, 0
430, 10, 55778, 555, 17519.8, 12408.4, 51722.1, 92631.9, 174055.5, 473098, 0
440, 10, 55347, 577, 17626.6, 12962.1, 47041.6, 94126.5, 198915.8, 297028, 0
450, 10, 56074, 566, 17415.5, 12685.0, 47150.8, 91914.4, 217731.5, 514722, 0
460, 10, 54247, 564, 17969.8, 12748.0, 51161.8, 87570.3, 178438.2, 433441, 0
470, 10, 55714, 548, 17532.9, 12796.1, 45537.1, 88678.8, 212410.8, 443871, 0
480, 10, 54341, 566, 17843.9, 12904.2, 49577.7, 99806.8, 195164.7, 358609, 0
490, 10, 55356, 539, 17611.0, 13435.4, 46542.0, 89322.0, 201830.5, 381426, 0
500, 10, 54691, 552, 17837.0, 13211.0, 48672.9, 91377.8, 228275.8, 505247, 0
510, 10, 54810, 544, 17768.3, 13347.8, 46388.2, 90395.0, 219547.5, 581507, 0
520, 10, 54415, 574, 17975.5, 13289.9, 48106.8, 94242.5, 214382.1, 506223, 0
530, 10, 54770, 557, 17782.4, 12932.7, 46552.1, 89884.4, 346852.5, 517133, 0
540, 10, 55307, 554, 17661.3, 12381.2, 48836.5, 97386.9, 187423.2, 369459, 0
550, 10, 54807, 565, 17756.0, 13535.1, 47666.4, 87745.6, 179432.7, 369700, 0
560, 10, 56152, 546, 17463.5, 12307.8, 50606.7, 98695.7, 242212.0, 549054, 0
570, 10, 55251, 567, 17588.4, 13140.3, 49143.0, 85702.8, 162479.1, 461241, 0
580, 10, 55654, 548, 17498.9, 12932.1, 49106.0, 84076.9, 164586.5, 389296, 0
590, 10, 57437, 559, 16989.7, 12652.6, 44838.0, 81765.7, 173640.8, 352278, 0
600, 10, 57140, 537, 16991.7, 12016.2, 50598.2, 93775.0, 192715.0, 437699, 0
601, 1, 5535, 613, 16529.9, 12799.3, 42962.5, 72912.5, 129616.3, 192222, 0
