elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 15975, 860, 6177.5, 5004.7, 17658.9, 24520.8, 46756.2, 101264, 0
20, 10, 16279, 876, 6062.1, 4966.7, 15398.4, 23893.9, 40226.7, 206827, 0
30, 10, 16163, 861, 6101.1, 5009.0, 16553.5, 23584.6, 31653.1, 39082, 0
40, 10, 16627, 876, 5933.3, 4993.8, 15434.8, 24159.1, 31171.6, 64900, 0
50, 10, 16016, 870, 6163.7, 5004.6, 17463.2, 24355.7, 32832.0, 104678, 0
60, 10, 15844, 886, 6226.4, 5046.5, 17340.6, 24547.9, 32464.8, 40876, 0
70, 10, 16239, 867, 6075.5, 4949.4, 16603.9, 24006.4, 33345.1, 51715, 0
80, 10, 16056, 889, 6148.4, 5087.5, 15596.7, 22710.0, 28497.2, 41379, 0
90, 10, 16092, 895, 6134.3, 5050.0, 16454.8, 22820.0, 31825.7, 99191, 0
100, 10, 16130, 876, 6112.7, 5008.4, 15898.4, 23493.8, 30994.6, 44182, 0
110, 10, 16608, 856, 5949.7, 4955.3, 15452.7, 23247.8, 28174.0, 52482, 0
120, 10, 16073, 854, 6142.8, 5006.3, 16174.8, 24453.4, 29240.9, 41381, 0
130, 10, 16538, 864, 5963.7, 4980.9, 15661.7, 22871.8, 37773.1, 42726, 0
140, 10, 16095, 868, 6143.5, 5015.6, 16227.7, 25013.5, 32726.3, 42556, 0
150, 10, 16344, 871, 6037.8, 5029.7, 15471.8, 22712.6, 33832.0, 62483, 0
160, 10, 15794, 880, 6256.4, 5090.4, 16467.6, 22710.2, 27525.8, 48577, 0
170, 10, 16061, 891, 6146.2, 5086.6, 15831.6, 22918.4, 31121.2, 44216, 0
180, 10, 16237, 851, 6081.1, 5034.2, 16056.9, 23586.3, 32440.8, 42781, 0
190, 10, 16137, 919, 6119.5, 5041.7, 17147.4, 22996.4, 31715.7, 40878, 0
200, 10, 15856, 869, 6221.1, 5083.4, 16802.0, 23850.5, 30518.0, 106207, 0
210, 10, 15817, 888, 6242.1, 5015.9, 17854.0, 24319.4, 31256.5, 56519, 0
220, 10, 16408, 812, 6008.6, 5021.2, 15644.0, 23123.3, 31898.0, 93168, 0
230, 10, 16257, 882, 6080.3, 5066.7, 15708.9, 23835.2, 31935.8, 44034, 0
240, 10, 15837, 888, 6235.7, 5073.6, 16728.4, 23906.4, 29180.3, 37279, 0
250, 10, 16196, 873, 6095.7, 5033.1, 16001.3, 23312.9, 28475.5, 39166, 0
260, 10, 16169, 889, 6097.9, 5057.7, 15699.8, 22635.7, 31569.3, 43068, 0
270, 10, 16119, 906, 6120.1, 5103.4, 15649.0, 23623.4, 31960.0, 35020, 0
280, 10, 16073, 905, 6143.9, 5068.6, 16302.9, 23609.8, 34740.9, 50604, 0
290, 10, 16223, 907, 6079.2, 5125.0, 15575.3, 22715.2, 28736.1, 41228, 0
300, 10, 16157, 900, 6117.0, 5115.0, 15756.0, 22659.9, 27742.2, 42578, 0
310, 10, 16200, 899, 6080.9, 5068.1, 15479.5, 23500.0, 29300.0, 36810, 0
320, 10, 16269, 875, 6065.2, 5057.1, 15772.4, 23764.9, 29613.8, 46763, 0
330, 10, 15557, 893, 6347.7, 5117.7, 16122.5, 24075.3, 34680.4, 206532, 0
340, 10, 16005, 881, 6162.6, 5075.0, 16022.9, 23499.5, 29656.1, 35038, 0
350, 10, 15249, 885, 6470.0, 5169.7, 18089.9, 25062.8, 35337.6, 48415, 0
360, 10, 15583, 887, 6332.6, 5136.4, 16642.8, 23480.9, 27854.2, 42490, 0
370, 10, 15855, 895, 6230.9, 5046.1, 16473.6, 23686.3, 31268.1, 42957, 0
380, 10, 15961, 893, 6185.9, 5056.5, 17072.0, 23192.3, 26754.9, 52387, 0
390, 10, 16213, 891, 6090.5, 5121.3, 15774.6, 24359.3, 33565.6, 44851, 0
400, 10, 16178, 918, 6109.5, 5054.3, 15650.9, 21960.2, 29301.4, 39033, 0
410, 10, 15650, 862, 6306.6, 5153.1, 16033.1, 23690.8, 29837.5, 60040, 0
420, 10, 15846, 887, 6230.2, 5108.2, 16142.0, 23542.3, 30509.6, 46430, 0
430, 10, 15924, 888, 6196.8, 5149.5, 16101.0, 22421.3, 27817.2, 49650, 0
440, 10, 16181, 899, 6100.6, 5109.8, 15431.1, 21877.2, 26954.7, 50620, 0
450, 10, 16026, 906, 6153.7, 5087.3, 15859.0, 22312.3, 34121.8, 45110, 0
460, 10, 15932, 903, 6186.9, 5092.8, 16184.8, 24283.5, 32073.9, 44695, 0
470, 10, 15978, 879, 6180.6, 5136.4, 15948.4, 22909.4, 31709.3, 38738, 0
480, 10, 15980, 851, 6179.3, 5024.8, 16957.1, 23773.1, 32751.7, 41347, 0
490, 10, 15626, 895, 6324.6, 5142.8, 16129.6, 23032.6, 29773.4, 49035, 0
