elapsed, window, total, successful, failed
10, 10, 8046, 8046, 0
20, 10, 33706, 33706, 0
30, 10, 48813, 48813, 0
40, 10, 46311, 46311, 0
50, 10, 49508, 49508, 0
60, 10, 49597, 49597, 0
70, 10, 46878, 46878, 0
80, 10, 48593, 48593, 0
90, 10, 47952, 47952, 0
100, 10, 49367, 49367, 0
110, 10, 49689, 49689, 0
120, 10, 49929, 49929, 0
130, 10, 47350, 47350, 0
140, 10, 47360, 47360, 0
150, 10, 47674, 47674, 0
160, 10, 49559, 49559, 0
170, 10, 48649, 48649, 0
180, 10, 49504, 49504, 0
190, 10, 49965, 49965, 0
200, 10, 50974, 50974, 0
210, 10, 51325, 51325, 0
220, 10, 51259, 51259, 0
230, 10, 49553, 49553, 0
240, 10, 48928, 48928, 0
250, 10, 49932, 49932, 0
260, 10, 48831, 48831, 0
270, 10, 47658, 47658, 0
280, 10, 50506, 50506, 0
290, 10, 50501, 50501, 0
300, 10, 50475, 50475, 0
310, 10, 49410, 49410, 0
320, 10, 48064, 48064, 0
330, 10, 49081, 49081, 0
340, 10, 49793, 49793, 0
350, 10, 50230, 50230, 0
360, 10, 49455, 49455, 0
370, 10, 48256, 48256, 0
380, 10, 51148, 51148, 0
390, 10, 47703, 47703, 0
400, 10, 50391, 50391, 0
410, 10, 48772, 48772, 0
420, 10, 54087, 54087, 0
430, 10, 50630, 50630, 0
440, 10, 47831, 47831, 0
450, 10, 51681, 51681, 0
460, 10, 49814, 49814, 0
470, 10, 49430, 49430, 0
480, 10, 48669, 48669, 0
490, 10, 50267, 50267, 0
500, 10, 48259, 48259, 0
510, 10, 48502, 48502, 0
520, 10, 47972, 47972, 0
530, 10, 49702, 49702, 0
540, 10, 49446, 49446, 0
550, 10, 53269, 53269, 0
560, 10, 49544, 49544, 0
570, 10, 47792, 47792, 0
580, 10, 50022, 50022, 0
590, 10, 48949, 48949, 0
600, 10, 48876, 48876, 0
601, 1, 4311, 4311, 0
