elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 28884, 1200, 3387.5, 2312.9, 12487.6, 22047.8, 29639.5, 181625, 0
20, 10, 28647, 1325, 3418.1, 2324.8, 12654.9, 22007.6, 28544.1, 52730, 0
30, 10, 30102, 1307, 3247.2, 2324.3, 12157.5, 18129.8, 28224.5, 49532, 0
40, 10, 28516, 1323, 3432.9, 2331.8, 12500.4, 21636.5, 29592.8, 63739, 0
50, 10, 29150, 1348, 3359.2, 2315.5, 12394.7, 21131.3, 27731.2, 55337, 0
60, 10, 28412, 1307, 3447.4, 2311.3, 12483.7, 22666.0, 30629.4, 46384, 0
70, 10, 30449, 1352, 3215.9, 2311.6, 12027.3, 19812.7, 24193.9, 54231, 0
80, 10, 28601, 1365, 3414.7, 2324.3, 12466.3, 21929.4, 27920.0, 77452, 0
90, 10, 30302, 1293, 3223.8, 2313.8, 11931.6, 20049.0, 28356.1, 62798, 0
100, 10, 29860, 1261, 3282.3, 2308.6, 12236.8, 21707.4, 28321.2, 44132, 0
110, 10, 28869, 1323, 3380.4, 2316.8, 12434.0, 22496.0, 29391.4, 44601, 0
120, 10, 29397, 1291, 3326.8, 2321.6, 12358.1, 20368.8, 26075.4, 36532, 0
130, 10, 30400, 1302, 3221.5, 2322.0, 11988.8, 16480.0, 24450.0, 41293, 0
140, 10, 28672, 1287, 3412.9, 2311.4, 12437.7, 21646.9, 31645.5, 55267, 0
150, 10, 28289, 1176, 3459.6, 2298.2, 12672.7, 21986.5, 31088.9, 63193, 0
160, 10, 29702, 1313, 3298.7, 2306.1, 12240.9, 21583.2, 28456.1, 45379, 0
170, 10, 29529, 1297, 3313.1, 2328.7, 12168.8, 19315.4, 28205.9, 66624, 0
180, 10, 28958, 1312, 3376.4, 2347.2, 12197.2, 20237.9, 31010.5, 56789, 0
190, 10, 28945, 1372, 3374.8, 2316.4, 12245.5, 21755.7, 30216.3, 43657, 0
200, 10, 24587, 1080, 3993.6, 2243.0, 12269.7, 21408.3, 29301.6, 3010408, 0
210, 10, 29493, 1281, 3315.3, 2287.4, 12258.6, 21911.8, 31625.4, 46310, 0
220, 10, 28885, 1229, 3400.7, 2232.7, 12210.9, 21560.4, 28528.8, 3008661, 0
230, 10, 29529, 1274, 3317.7, 2302.5, 12183.1, 20787.6, 26409.7, 61852, 0
240, 10, 28865, 1223, 3387.5, 2317.2, 12254.9, 21534.6, 29656.7, 56982, 0
250, 10, 28616, 1293, 3412.5, 2325.5, 12487.8, 21716.6, 27423.0, 50894, 0
260, 10, 29187, 1313, 3359.2, 2310.9, 12355.5, 21576.1, 29064.7, 52220, 0
270, 10, 28970, 1297, 3380.5, 2320.8, 12250.8, 22175.7, 28878.7, 86578, 0
280, 10, 28278, 1265, 3463.7, 2313.6, 12460.4, 22071.0, 31847.2, 91127, 0
290, 10, 30206, 1296, 3236.3, 2297.8, 11972.4, 19497.9, 28948.5, 62363, 0
300, 10, 29906, 1314, 3271.1, 2316.7, 12120.2, 21572.1, 30007.8, 55062, 0
310, 10, 27679, 1220, 3363.0, 2183.4, 12207.9, 21580.3, 31110.1, 3010015, 0
320, 10, 29170, 1312, 3527.3, 2293.9, 12186.9, 21985.6, 32391.5, 3013704, 0
330, 10, 28088, 1293, 3492.3, 2319.7, 12478.4, 21750.7, 31057.0, 210035, 0
340, 10, 29272, 1209, 3352.4, 2325.1, 12223.0, 21302.3, 29716.0, 53635, 0
350, 10, 29987, 1300, 3267.7, 2301.9, 12225.6, 21440.8, 27938.3, 53433, 0
360, 10, 28567, 1318, 3424.8, 2340.0, 12441.6, 20479.1, 28858.3, 55520, 0
370, 10, 29725, 1349, 3288.7, 2295.0, 12065.0, 20699.2, 28344.8, 50527, 0
380, 10, 29279, 1306, 3339.6, 2307.8, 12206.5, 21543.1, 28893.4, 47967, 0
390, 10, 29728, 1311, 3288.9, 2306.8, 12176.6, 20928.7, 29568.2, 81035, 0
400, 10, 29587, 1356, 3314.0, 2297.4, 12227.4, 21756.1, 31017.2, 46015, 0
410, 10, 28754, 1190, 3412.2, 2237.6, 12065.8, 21550.5, 28103.8, 3043747, 0
420, 10, 29027, 1195, 3375.2, 2273.7, 12177.5, 21388.4, 26040.5, 3009669, 0
430, 10, 29731, 1222, 3294.4, 2300.1, 12134.8, 21302.7, 29052.9, 46136, 0
440, 10, 28873, 1178, 3391.4, 2196.1, 11783.7, 20914.7, 27177.3, 3032077, 0
450, 10, 29143, 1337, 3360.4, 2317.3, 12314.9, 20444.8, 28660.7, 41828, 0
460, 10, 29535, 1349, 3320.7, 2316.8, 12199.6, 21295.6, 28433.1, 37756, 0
470, 10, 29734, 1333, 3292.1, 2306.7, 12142.7, 21145.8, 24908.2, 44937, 0
480, 10, 29488, 1219, 3323.5, 2303.9, 12104.1, 21952.6, 31161.1, 42750, 0
490, 10, 28646, 1358, 3424.6, 2316.4, 12295.4, 21899.7, 29681.4, 56212, 0
500, 10, 29843, 1271, 3277.1, 2317.8, 12104.9, 21790.4, 27929.7, 58721, 0
510, 10, 27723, 1163, 3539.4, 2193.7, 11822.7, 20605.8, 26813.8, 3015321, 0
520, 10, 29823, 1284, 3289.4, 2318.7, 12059.2, 21357.9, 29014.7, 49731, 0
530, 10, 29734, 1179, 3290.4, 2308.1, 12035.9, 21253.9, 27329.1, 50383, 0
540, 10, 29374, 1364, 3327.1, 2316.3, 12054.2, 20431.5, 26406.5, 37520, 0
550, 10, 29486, 1246, 3311.5, 2301.5, 12275.5, 21722.5, 29625.4, 39538, 0
560, 10, 27561, 1188, 3570.8, 2130.2, 12085.1, 20957.0, 30158.5, 3015631, 0
570, 10, 28772, 1274, 3397.2, 2329.2, 12453.7, 21298.6, 28201.7, 46928, 0
580, 10, 29121, 1286, 3361.6, 2297.2, 12335.7, 21861.2, 29429.9, 52185, 0
590, 10, 29600, 1237, 3310.8, 2298.1, 12159.1, 21823.8, 30420.0, 43974, 0
600, 10, 30024, 1351, 3257.9, 2322.4, 12034.4, 21317.6, 31374.0, 42331, 0
601, 1, 2631, 1437, 3313.7, 2231.0, 12114.5, 21359.4, 27780.8, 27910, 0
