elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 16497, 816, 5980.6, 4867.9, 16569.7, 24143.1, 29672.0, 43840, 0
20, 10, 16779, 842, 5878.6, 4799.9, 16207.7, 24503.7, 38402.6, 204952, 0
30, 10, 16529, 856, 5971.9, 4849.9, 15640.9, 22702.3, 28367.8, 204248, 0
40, 10, 17209, 857, 5732.3, 4822.9, 15339.8, 22884.3, 28494.8, 36592, 0
50, 10, 16415, 881, 6008.9, 4888.9, 16177.6, 24122.7, 30270.9, 43697, 0
60, 10, 16223, 851, 6085.1, 4846.3, 18093.5, 25128.6, 32972.2, 60910, 0
70, 10, 16919, 855, 5842.9, 4807.3, 16313.3, 24576.4, 31135.1, 46418, 0
80, 10, 16561, 828, 5961.7, 4862.6, 16787.5, 23193.0, 27929.9, 38931, 0
90, 10, 16149, 831, 6112.0, 4893.8, 15662.7, 22858.5, 32106.4, 199581, 0
100, 10, 16828, 902, 5865.6, 4855.3, 15666.3, 23008.2, 28067.9, 35501, 0
110, 10, 16811, 887, 5865.1, 4926.3, 15176.4, 22786.1, 28682.4, 204829, 0
120, 10, 16722, 878, 5912.4, 4876.5, 16306.1, 22482.1, 29534.7, 39510, 0
130, 10, 16644, 839, 5928.4, 4866.5, 16189.3, 24482.6, 30089.0, 47154, 0
140, 10, 16338, 877, 6044.0, 4905.1, 16707.6, 24264.0, 29665.5, 48398, 0
150, 10, 16477, 854, 5990.0, 4888.2, 16162.9, 23350.4, 27880.8, 45033, 0
160, 10, 17140, 884, 5757.6, 4808.2, 15407.9, 23910.0, 30465.0, 38067, 0
170, 10, 16486, 871, 5986.3, 4937.6, 15842.4, 22270.4, 30325.7, 54534, 0
180, 10, 16236, 844, 6075.6, 4907.6, 16478.1, 23564.4, 37531.8, 39240, 0
190, 10, 16508, 856, 5974.5, 4858.7, 15566.4, 24068.6, 32123.0, 204545, 0
200, 10, 16438, 887, 6001.6, 4887.8, 16084.0, 23887.9, 31878.1, 34667, 0
210, 10, 16695, 884, 5913.7, 4865.1, 15949.0, 23125.4, 27644.1, 50801, 0
220, 10, 16041, 879, 6151.4, 4884.9, 16058.2, 22506.7, 124119.9, 203683, 0
230, 10, 16671, 871, 5913.4, 4951.8, 15118.3, 21839.3, 28832.3, 42346, 0
240, 10, 16260, 880, 6071.2, 4952.5, 15758.2, 22529.2, 28342.5, 35371, 0
250, 10, 16435, 827, 6004.6, 4942.5, 16430.4, 22766.2, 28797.1, 46781, 0
260, 10, 17069, 850, 5775.8, 4867.6, 15061.0, 22557.7, 27846.6, 38776, 0
270, 10, 16597, 875, 5946.6, 4926.4, 15419.0, 21867.2, 29550.4, 112608, 0
280, 10, 16405, 825, 6004.3, 4875.3, 17097.9, 22726.1, 32474.7, 205194, 0
290, 10, 16751, 888, 5891.0, 4886.3, 16227.2, 24115.9, 33812.2, 45655, 0
300, 10, 16612, 885, 5933.9, 4835.6, 17550.0, 24258.1, 31847.0, 43589, 0
310, 10, 16012, 875, 6168.3, 4892.3, 17088.1, 25382.3, 39415.7, 207109, 0
320, 10, 15963, 896, 6186.0, 4897.5, 16287.5, 23470.9, 32259.3, 121020, 0
330, 10, 16775, 881, 5881.7, 4902.6, 15113.3, 22510.4, 29111.2, 42706, 0
340, 10, 16500, 868, 5979.1, 4912.8, 15871.2, 24489.6, 36291.7, 52138, 0
350, 10, 15992, 889, 6181.0, 4932.5, 16359.5, 24251.7, 52400.4, 165905, 0
360, 10, 16791, 896, 5873.3, 4890.0, 16149.1, 22489.2, 27026.1, 37790, 0
370, 10, 16377, 881, 6026.5, 4910.9, 16334.6, 23044.9, 27276.0, 217480, 0
380, 10, 16379, 881, 6028.8, 4906.0, 15738.1, 22782.5, 30155.2, 317879, 0
390, 10, 16603, 873, 5942.9, 4881.9, 15688.1, 23589.7, 38824.9, 40952, 0
400, 10, 16553, 919, 5964.9, 4926.4, 15955.3, 22992.6, 30152.9, 50773, 0
410, 10, 16344, 857, 6035.9, 4966.6, 15956.4, 22746.9, 29782.8, 46879, 0
420, 10, 16047, 882, 6150.8, 4880.1, 17090.1, 24136.0, 68744.1, 204626, 0
430, 10, 16562, 877, 5957.7, 4889.5, 16962.5, 23755.0, 35054.7, 43456, 0
440, 10, 16465, 889, 5981.0, 4953.9, 15561.2, 24408.9, 33633.7, 47104, 0
450, 10, 16272, 898, 6066.2, 4955.9, 16641.4, 23672.8, 30341.0, 49204, 0
460, 10, 16398, 865, 6018.3, 4860.4, 16846.3, 24159.5, 31466.8, 44415, 0
470, 10, 16281, 874, 6071.1, 4975.9, 15836.5, 23099.8, 39482.4, 94189, 0
480, 10, 16245, 850, 6079.0, 4940.6, 16740.5, 23712.5, 29239.8, 162445, 0
490, 10, 16657, 874, 5923.2, 4935.6, 15625.7, 23428.6, 32111.9, 54674, 0
500, 10, 15973, 802, 6169.6, 4991.1, 16973.9, 22823.8, 34756.8, 80544, 0
510, 10, 16534, 878, 5971.3, 4930.3, 15847.3, 22698.3, 32433.3, 50085, 0
520, 10, 16749, 887, 5897.6, 4925.0, 15392.1, 23216.1, 28812.8, 44192, 0
530, 10, 16378, 898, 6033.5, 4933.4, 16059.2, 24365.2, 34155.5, 58434, 0
540, 10, 15759, 865, 6266.0, 4982.1, 16820.8, 24650.3, 39390.1, 113794, 0
550, 10, 16429, 881, 6000.3, 4902.7, 16198.5, 24154.6, 35660.7, 110655, 0
560, 10, 16058, 900, 6138.0, 4904.4, 16665.1, 23775.4, 34992.7, 87791, 0
570, 10, 16453, 855, 5993.8, 4916.5, 15470.1, 22452.2, 27636.7, 37031, 0
580, 10, 16506, 866, 5974.3, 4903.2, 16222.8, 22386.8, 27593.4, 42932, 0
590, 10, 16306, 876, 6062.1, 5018.2, 16102.1, 23972.9, 30917.3, 50468, 0
600, 10, 16236, 819, 6077.1, 4911.2, 17293.1, 24681.9, 33588.2, 49759, 0
601, 1, 1455, 938, 5695.0, 4976.6, 15004.8, 20370.8, 22462.1, 22512, 0
