elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 50159, 512, 1935.2, 1216.9, 10246.9, 16336.1, 27230.1, 172655, 0
20, 10, 48714, 524, 2002.5, 1224.7, 10673.4, 18292.3, 30438.8, 40180, 0
30, 10, 47836, 498, 2039.8, 1217.3, 10611.6, 20898.0, 31174.4, 39259, 0
40, 10, 48096, 511, 2022.8, 1226.3, 10543.2, 20023.6, 31204.3, 201142, 0
50, 10, 48280, 511, 2019.6, 1222.5, 10720.8, 20390.9, 32393.3, 119056, 0
60, 10, 48983, 505, 1992.9, 1220.4, 10711.5, 19971.7, 24550.8, 39668, 0
70, 10, 48679, 501, 2004.4, 1216.2, 10595.5, 20505.6, 31140.8, 200450, 0
80, 10, 48483, 523, 2008.3, 1220.5, 10640.0, 18134.9, 31737.9, 136224, 0
90, 10, 49240, 515, 1977.7, 1214.6, 10627.0, 19894.4, 38190.0, 40239, 0
100, 10, 46928, 512, 2077.2, 1210.4, 10607.8, 20655.1, 34009.0, 206674, 0
110, 10, 48756, 497, 1996.9, 1240.9, 10715.0, 18012.2, 26155.5, 200151, 0
120, 10, 49554, 514, 1958.7, 1211.1, 10438.9, 20244.6, 30472.3, 116532, 0
130, 10, 50147, 513, 1947.4, 1213.4, 10488.3, 17695.8, 30827.2, 40380, 0
140, 10, 50867, 515, 1917.6, 1213.1, 10409.2, 17255.2, 28533.3, 131143, 0
150, 10, 48100, 493, 2027.4, 1217.6, 10517.2, 20227.3, 31862.5, 201159, 0
160, 10, 51944, 503, 1873.7, 1205.8, 10027.4, 18548.7, 27902.8, 31533, 0
170, 10, 48390, 525, 2016.8, 1210.4, 10518.5, 20411.7, 30815.3, 203824, 0
180, 10, 49794, 480, 1956.3, 1214.0, 10456.7, 19893.9, 26210.3, 134228, 0
190, 10, 48249, 506, 2020.7, 1213.8, 10595.1, 19695.5, 31593.9, 200722, 0
200, 10, 49526, 528, 1962.8, 1219.8, 10551.8, 16807.1, 25323.7, 200618, 0
210, 10, 49654, 514, 1963.2, 1216.1, 10534.4, 20020.5, 31059.7, 39989, 0
220, 10, 48891, 525, 1992.9, 1218.9, 10552.8, 20510.4, 26003.4, 202167, 0
230, 10, 46488, 516, 2095.7, 1244.0, 10898.3, 20487.9, 30025.6, 89352, 0
240, 10, 50021, 498, 1949.2, 1214.7, 10355.6, 20529.9, 28998.9, 39647, 0
250, 10, 48612, 492, 2007.1, 1215.1, 10597.7, 18792.4, 27782.3, 202033, 0
260, 10, 47287, 506, 2054.5, 1231.5, 10841.3, 18065.2, 26107.1, 142000, 0
270, 10, 49024, 504, 1988.6, 1223.8, 10736.5, 16735.0, 24693.8, 40389, 0
280, 10, 48399, 503, 2013.1, 1209.0, 10779.8, 20382.0, 31150.0, 44558, 0
290, 10, 49797, 489, 1955.3, 1234.7, 10538.5, 19806.4, 27025.4, 42353, 0
300, 10, 48393, 522, 2004.8, 1235.7, 10503.9, 17751.9, 24736.0, 201403, 0
310, 10, 49469, 519, 1971.0, 1213.3, 10604.8, 19982.7, 30617.7, 34963, 0
320, 10, 48899, 474, 1994.6, 1214.9, 10620.0, 16442.4, 30927.5, 207287, 0
330, 10, 46881, 516, 2073.7, 1228.3, 10673.8, 20538.7, 30194.9, 205939, 0
340, 10, 50024, 509, 1948.0, 1223.2, 10479.7, 17617.5, 31049.4, 39918, 0
350, 10, 49028, 493, 1988.6, 1211.0, 10208.2, 19741.3, 31352.5, 202273, 0
360, 10, 50071, 513, 1946.3, 1208.1, 10424.4, 19755.6, 30465.5, 158815, 0
370, 10, 46670, 497, 2092.9, 1208.9, 10318.2, 20685.4, 30652.7, 203081, 0
380, 10, 51489, 511, 1891.7, 1209.8, 10182.3, 18641.9, 22938.0, 36080, 0
390, 10, 48078, 478, 2029.7, 1211.3, 10566.8, 20451.9, 31165.0, 201665, 0
400, 10, 50240, 524, 1940.2, 1203.6, 10512.6, 19086.4, 26230.0, 30862, 0
410, 10, 48009, 529, 2030.6, 1220.1, 10473.0, 20695.6, 31136.2, 73418, 0
420, 10, 48719, 513, 1992.6, 1209.6, 10524.6, 20553.4, 28985.0, 40738, 0
430, 10, 50129, 499, 1946.6, 1211.8, 10352.5, 18711.8, 28905.9, 41125, 0
440, 10, 49028, 512, 1984.4, 1210.0, 10521.9, 19886.0, 31356.1, 41356, 0
