elapsed, window, total, successful, failed
10, 10, 50159, 50159, 0
20, 10, 48714, 48714, 0
30, 10, 47836, 47836, 0
40, 10, 48096, 48096, 0
50, 10, 48280, 48280, 0
60, 10, 48983, 48983, 0
70, 10, 48679, 48679, 0
80, 10, 48483, 48483, 0
90, 10, 49240, 49240, 0
100, 10, 46928, 46928, 0
110, 10, 48756, 48756, 0
120, 10, 49554, 49554, 0
130, 10, 50147, 50147, 0
140, 10, 50867, 50867, 0
150, 10, 48100, 48100, 0
160, 10, 51944, 51944, 0
170, 10, 48390, 48390, 0
180, 10, 49794, 49794, 0
190, 10, 48249, 48249, 0
200, 10, 49526, 49526, 0
210, 10, 49654, 49654, 0
220, 10, 48891, 48891, 0
230, 10, 46488, 46488, 0
240, 10, 50021, 50021, 0
250, 10, 48612, 48612, 0
260, 10, 47287, 47287, 0
270, 10, 49024, 49024, 0
280, 10, 48399, 48399, 0
290, 10, 49797, 49797, 0
300, 10, 48393, 48393, 0
310, 10, 49469, 49469, 0
320, 10, 48899, 48899, 0
330, 10, 46881, 46881, 0
340, 10, 50024, 50024, 0
350, 10, 49028, 49028, 0
360, 10, 50071, 50071, 0
370, 10, 46670, 46670, 0
380, 10, 51489, 51489, 0
390, 10, 48078, 48078, 0
400, 10, 50240, 50240, 0
410, 10, 48009, 48009, 0
420, 10, 48719, 48719, 0
430, 10, 50129, 50129, 0
440, 10, 49028, 49028, 0
450, 10, 47263, 47263, 0
460, 10, 49109, 49109, 0
470, 10, 48248, 48248, 0
480, 10, 51072, 51072, 0
490, 10, 50644, 50644, 0
500, 10, 48873, 48873, 0
510, 10, 48653, 48653, 0
520, 10, 50505, 50505, 0
530, 10, 48723, 48723, 0
540, 10, 49339, 49339, 0
550, 10, 49352, 49352, 0
560, 10, 50462, 50462, 0
570, 10, 50146, 50146, 0
580, 10, 49309, 49309, 0
590, 10, 47749, 47749, 0
600, 10, 48689, 48689, 0
601, 1, 4421, 4421, 0
