elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 8046, 839, 12385.8, 4919.8, 41382.1, 113635.0, 353238.5, 435538, 0
20, 10, 33706, 544, 2933.6, 1170.1, 12946.6, 25371.3, 70536.8, 221196, 0
30, 10, 48813, 506, 2019.4, 960.0, 10320.9, 20795.7, 39099.6, 87777, 0
40, 10, 46311, 530, 2126.0, 965.9, 10541.6, 21868.4, 40346.0, 209291, 0
50, 10, 49508, 538, 1986.2, 950.8, 10157.8, 21148.5, 35373.0, 73808, 0
60, 10, 49597, 541, 1980.2, 955.9, 10363.6, 20141.1, 39587.7, 69147, 0
70, 10, 46878, 509, 2102.1, 964.0, 10416.9, 20864.9, 40006.1, 202642, 0
80, 10, 48593, 540, 2023.8, 957.2, 9985.3, 20786.8, 40783.9, 113730, 0
90, 10, 47952, 533, 2050.3, 959.0, 10507.9, 20588.7, 39262.0, 199314, 0
100, 10, 49367, 537, 1990.5, 956.1, 10276.6, 20906.7, 37469.4, 59077, 0
110, 10, 49689, 523, 1983.2, 959.6, 10078.6, 20703.4, 39109.3, 68790, 0
120, 10, 49929, 535, 1969.3, 949.5, 10051.7, 21071.4, 34629.4, 47075, 0
130, 10, 47350, 542, 2073.8, 964.3, 10511.8, 21320.8, 37182.5, 84912, 0
140, 10, 47360, 515, 2073.6, 961.5, 10661.9, 21601.3, 34602.5, 73930, 0
150, 10, 47674, 526, 2060.3, 959.1, 10215.8, 20122.6, 45520.4, 213748, 0
160, 10, 49559, 497, 1985.2, 947.6, 10160.0, 20113.2, 39870.1, 213715, 0
170, 10, 48649, 534, 2025.8, 961.4, 10359.6, 20832.3, 39217.6, 73515, 0
180, 10, 49504, 518, 1987.5, 957.2, 10225.3, 20196.8, 39124.8, 107259, 0
190, 10, 49965, 520, 1967.3, 959.0, 9901.6, 20063.2, 39101.8, 79137, 0
200, 10, 50974, 536, 1929.3, 951.5, 9630.1, 19809.2, 37506.5, 62294, 0
210, 10, 51325, 522, 1913.7, 947.0, 9849.7, 19834.2, 39604.7, 69632, 0
220, 10, 51259, 524, 1917.1, 949.4, 8811.0, 20738.6, 31983.8, 113525, 0
230, 10, 49553, 529, 1984.9, 950.6, 10243.3, 20862.0, 37111.8, 71194, 0
240, 10, 48928, 543, 2011.8, 954.4, 10206.8, 21435.6, 40172.7, 69950, 0
250, 10, 49932, 537, 1968.9, 955.6, 9765.2, 20311.6, 40288.1, 77877, 0
260, 10, 48831, 540, 2013.1, 963.1, 10255.6, 20629.3, 37646.1, 72515, 0
