elapsed, window, total, successful, failed
10, 10, 7965, 7965, 0
20, 10, 9235, 9235, 0
30, 10, 9476, 9476, 0
40, 10, 9572, 9572, 0
50, 10, 9638, 9638, 0
60, 10, 9707, 9707, 0
70, 10, 9598, 9598, 0
80, 10, 9651, 9651, 0
90, 10, 9677, 9677, 0
100, 10, 9671, 9671, 0
110, 10, 8854, 8854, 0
120, 10, 9675, 9675, 0
130, 10, 9613, 9613, 0
140, 10, 9619, 9619, 0
150, 10, 9606, 9606, 0
160, 10, 9666, 9666, 0
170, 10, 9640, 9640, 0
180, 10, 9635, 9635, 0
190, 10, 9696, 9696, 0
200, 10, 9635, 9635, 0
210, 10, 9703, 9703, 0
220, 10, 9609, 9609, 0
230, 10, 9608, 9608, 0
240, 10, 9650, 9650, 0
250, 10, 9572, 9572, 0
260, 10, 9673, 9673, 0
270, 10, 9718, 9718, 0
280, 10, 9647, 9647, 0
290, 10, 9625, 9625, 0
300, 10, 9601, 9601, 0
310, 10, 9706, 9706, 0
320, 10, 9656, 9656, 0
330, 10, 9646, 9646, 0
340, 10, 9624, 9624, 0
350, 10, 9730, 9730, 0
360, 10, 9693, 9693, 0
370, 10, 9671, 9671, 0
380, 10, 9602, 9602, 0
390, 10, 9577, 9577, 0
400, 10, 9627, 9627, 0
410, 10, 9669, 9669, 0
420, 10, 9623, 9623, 0
430, 10, 9648, 9648, 0
440, 10, 9658, 9658, 0
450, 10, 9646, 9646, 0
460, 10, 9661, 9661, 0
470, 10, 9663, 9663, 0
480, 10, 9675, 9675, 0
490, 10, 9676, 9676, 0
500, 10, 9678, 9678, 0
510, 10, 9650, 9650, 0
520, 10, 9586, 9586, 0
530, 10, 9646, 9646, 0
540, 10, 9659, 9659, 0
550, 10, 9680, 9680, 0
560, 10, 9684, 9684, 0
570, 10, 9603, 9603, 0
580, 10, 9692, 9692, 0
590, 10, 9601, 9601, 0
600, 10, 9720, 9720, 0
601, 1, 857, 857, 0
