elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 3850, 103462, 624339.1, 363000.0, 2108125.0, 3879125.0, 4739037.5, 5001336, 2
20, 10, 6664, 143601, 375462.5, 287972.2, 969950.0, 1605840.0, 2445334.0, 2903407, 0
30, 10, 7060, 104443, 353793.2, 259318.2, 960500.0, 1554850.0, 2173735.0, 2506233, 0
40, 10, 7226, 125681, 349686.6, 280250.0, 806675.0, 1326935.0, 1975943.5, 3066623, 0
50, 10, 8699, 126002, 283441.9, 228507.8, 584512.5, 1366502.5, 1998575.2, 2729379, 0
60, 10, 9926, 119005, 252896.6, 192875.0, 549675.0, 1246435.0, 2280768.5, 2864281, 0
70, 10, 11674, 110069, 217052.4, 165121.8, 451162.5, 1098815.0, 2030081.5, 3060293, 0
80, 10, 16799, 101501, 149974.5, 134767.9, 210502.1, 505502.5, 1117050.3, 1596707, 0
90, 10, 19381, 100876, 128931.2, 127071.2, 157219.9, 169471.1, 199801.6, 339454, 0
100, 10, 19705, 100926, 126700.1, 125230.1, 148496.5, 159654.7, 170214.7, 179263, 0
110, 10, 19656, 100856, 127097.1, 125517.5, 151864.5, 167706.7, 182418.0, 196945, 0
120, 10, 19630, 100813, 127106.4, 124518.1, 157564.4, 169678.3, 186421.2, 189741, 0
130, 10, 19578, 100852, 127432.4, 123425.5, 159735.9, 176961.0, 218105.5, 323627, 0
140, 10, 19655, 100789, 127183.8, 125392.2, 150745.4, 162903.1, 192586.3, 196591, 0
150, 10, 19554, 100898, 127481.5, 125525.2, 152739.4, 169639.4, 184111.5, 196535, 0
160, 10, 19479, 100904, 128217.2, 124819.6, 162917.4, 188180.2, 225440.1, 244128, 0
170, 10, 19637, 100890, 127098.5, 126223.3, 148325.3, 162267.5, 200420.4, 224206, 0
180, 10, 19613, 100883, 127551.6, 125847.1, 149780.9, 162905.8, 324173.4, 333586, 0
190, 10, 19509, 100741, 127744.9, 123945.8, 157795.5, 171863.7, 212122.7, 3131712, 0
200, 10, 19440, 100823, 128295.9, 124563.8, 164078.1, 183268.7, 240945.0, 357310, 0
210, 10, 19587, 100888, 127635.1, 123872.4, 160511.6, 180540.4, 202451.1, 208246, 0
220, 10, 19467, 100836, 128155.4, 123886.1, 161570.2, 180726.1, 213877.7, 241359, 0
230, 10, 19580, 100788, 127155.4, 123767.0, 155855.3, 170267.6, 201771.0, 209409, 0
240, 10, 19510, 100844, 127855.1, 122065.8, 165532.9, 181395.0, 217311.3, 221628, 0
250, 10, 19583, 100856, 127539.8, 124847.8, 158310.6, 178042.5, 202302.1, 215215, 0
260, 10, 19615, 100848, 127387.6, 124464.1, 156553.1, 175192.5, 212115.4, 219244, 0
270, 10, 19496, 100810, 127448.8, 124904.9, 154141.2, 170002.0, 193292.0, 195217, 0
280, 10, 19676, 100838, 127345.1, 123771.1, 156642.3, 171317.5, 196540.5, 218269, 0
290, 10, 19491, 100785, 128055.3, 124691.4, 160571.9, 186204.5, 214127.2, 229905, 0
300, 10, 19645, 100936, 127178.4, 124185.2, 154131.7, 170096.9, 215338.7, 222078, 0
310, 10, 19593, 100821, 127285.8, 123385.0, 154083.5, 174716.8, 201550.9, 213981, 0
320, 10, 19530, 100865, 127838.4, 121186.6, 162990.4, 181435.0, 210117.5, 227700, 0
330, 10, 19559, 100888, 127664.6, 123859.6, 161575.2, 179020.5, 212555.1, 219781, 0
340, 10, 19490, 100830, 127951.6, 123853.9, 160727.7, 178190.6, 225125.8, 238936, 0
350, 10, 19554, 100763, 127560.4, 124436.7, 155303.0, 173511.5, 209611.5, 240115, 0
360, 10, 19560, 100916, 127604.7, 125397.7, 156187.5, 176462.5, 205860.0, 223581, 0
370, 10, 19617, 100837, 127473.3, 125395.4, 153099.0, 165045.7, 192845.8, 198249, 0
380, 10, 19659, 100934, 126788.5, 125432.0, 147639.7, 158452.2, 169792.6, 187665, 0
390, 10, 19543, 100833, 127748.6, 126761.0, 156286.7, 170939.2, 198182.1, 230431, 0
400, 10, 19506, 100886, 127768.2, 125705.9, 156831.3, 174697.0, 208186.7, 223083, 0
410, 10, 19680, 100875, 127139.6, 125147.7, 152225.6, 166292.3, 179165.0, 184559, 0
