elapsed, window, total, successful, failed
10, 10, 3852, 3850, 2
20, 10, 6664, 6664, 0
30, 10, 7060, 7060, 0
40, 10, 7226, 7226, 0
50, 10, 8699, 8699, 0
60, 10, 9926, 9926, 0
70, 10, 11674, 11674, 0
80, 10, 16799, 16799, 0
90, 10, 19381, 19381, 0
100, 10, 19705, 19705, 0
110, 10, 19656, 19656, 0
120, 10, 19630, 19630, 0
130, 10, 19578, 19578, 0
140, 10, 19655, 19655, 0
150, 10, 19554, 19554, 0
160, 10, 19479, 19479, 0
170, 10, 19637, 19637, 0
180, 10, 19613, 19613, 0
190, 10, 19509, 19509, 0
200, 10, 19440, 19440, 0
210, 10, 19587, 19587, 0
220, 10, 19467, 19467, 0
230, 10, 19580, 19580, 0
240, 10, 19510, 19510, 0
250, 10, 19583, 19583, 0
260, 10, 19615, 19615, 0
270, 10, 19496, 19496, 0
280, 10, 19676, 19676, 0
290, 10, 19491, 19491, 0
300, 10, 19645, 19645, 0
310, 10, 19593, 19593, 0
320, 10, 19530, 19530, 0
330, 10, 19559, 19559, 0
340, 10, 19490, 19490, 0
350, 10, 19554, 19554, 0
360, 10, 19560, 19560, 0
370, 10, 19617, 19617, 0
380, 10, 19659, 19659, 0
390, 10, 19543, 19543, 0
400, 10, 19506, 19506, 0
410, 10, 19680, 19680, 0
420, 10, 19525, 19525, 0
430, 10, 19602, 19602, 0
440, 10, 19623, 19623, 0
450, 10, 19043, 19043, 0
460, 10, 19601, 19601, 0
470, 10, 19619, 19619, 0
480, 10, 19510, 19510, 0
490, 10, 19438, 19438, 0
500, 10, 19598, 19598, 0
510, 10, 19528, 19528, 0
520, 10, 19625, 19625, 0
530, 10, 19670, 19670, 0
540, 10, 19666, 19666, 0
550, 10, 19601, 19601, 0
560, 10, 19573, 19573, 0
570, 10, 19645, 19645, 0
580, 10, 19548, 19548, 0
590, 10, 19471, 19471, 0
600, 10, 19674, 19674, 0
601, 1, 1856, 1856, 0
