elapsed, window, total, successful, failed
10, 10, 19616, 19616, 0
20, 10, 20157, 20157, 0
30, 10, 21507, 21507, 0
40, 10, 21140, 21140, 0
50, 10, 21155, 21155, 0
60, 10, 21384, 21384, 0
70, 10, 21349, 21349, 0
80, 10, 21076, 21076, 0
90, 10, 21437, 21437, 0
100, 10, 21342, 21342, 0
110, 10, 20787, 20787, 0
120, 10, 20986, 20986, 0
130, 10, 21078, 21078, 0
140, 10, 21308, 21308, 0
150, 10, 20676, 20676, 0
160, 10, 21248, 21248, 0
170, 10, 21244, 21244, 0
180, 10, 21320, 21320, 0
190, 10, 20151, 20151, 0
200, 10, 21021, 21021, 0
210, 10, 21252, 21252, 0
220, 10, 21019, 21019, 0
230, 10, 20495, 20495, 0
240, 10, 20989, 20989, 0
250, 10, 20631, 20631, 0
260, 10, 20963, 20963, 0
270, 10, 21298, 21298, 0
280, 10, 21283, 21283, 0
290, 10, 21175, 21175, 0
300, 10, 20999, 20999, 0
310, 10, 21057, 21057, 0
320, 10, 21285, 21285, 0
330, 10, 21314, 21314, 0
340, 10, 20788, 20788, 0
350, 10, 20996, 20996, 0
360, 10, 20467, 20467, 0
370, 10, 21325, 21325, 0
380, 10, 21193, 21193, 0
390, 10, 21073, 21073, 0
400, 10, 21085, 21085, 0
410, 10, 20564, 20564, 0
420, 10, 21242, 21242, 0
430, 10, 20978, 20978, 0
440, 10, 21112, 21112, 0
450, 10, 21269, 21269, 0
460, 10, 21408, 21408, 0
470, 10, 20857, 20857, 0
480, 10, 20979, 20979, 0
490, 10, 21178, 21178, 0
500, 10, 21464, 21464, 0
510, 10, 21287, 21287, 0
520, 10, 21154, 21154, 0
530, 10, 21392, 21392, 0
540, 10, 20895, 20895, 0
550, 10, 21200, 21200, 0
560, 10, 20342, 20342, 0
570, 10, 20934, 20934, 0
580, 10, 21495, 21495, 0
590, 10, 21864, 21864, 0
600, 10, 20279, 20279, 0
601, 1, 1921, 1921, 0
