elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 2354, 101078, 105569.9, 101685.1, 117325.0, 172865.0, 319911.5, 369022, 0
20, 10, 2429, 101060, 103047.1, 101489.8, 112237.5, 122177.5, 130392.7, 135835, 0
30, 10, 2424, 101027, 103271.4, 101667.1, 112109.1, 118230.0, 121197.0, 122004, 0
40, 10, 2413, 101080, 103353.5, 101596.6, 113317.5, 121531.1, 130646.8, 133940, 0
50, 10, 2411, 101117, 103876.3, 101709.9, 114840.6, 126472.5, 138147.2, 139255, 0
60, 10, 2415, 101048, 103089.3, 101610.6, 111713.5, 120212.5, 122323.1, 127319, 0
70, 10, 2426, 101090, 103284.7, 101635.8, 112654.2, 117435.0, 122393.5, 129363, 0
80, 10, 2432, 101083, 102726.2, 101503.5, 110720.0, 116835.0, 125392.0, 130081, 0
90, 10, 2413, 101062, 103500.8, 101714.2, 113317.5, 119467.5, 130323.4, 131130, 0
100, 10, 2416, 101105, 103669.6, 101666.9, 114523.1, 122486.7, 131146.0, 135765, 0
110, 10, 2413, 101084, 103361.1, 101597.5, 112604.7, 121393.5, 135146.8, 136969, 0
120, 10, 2407, 101070, 103992.9, 101511.4, 115341.3, 134482.5, 201148.2, 202371, 0
130, 10, 2401, 101046, 104124.5, 101732.1, 115769.8, 121321.1, 132699.9, 136152, 0
140, 10, 2420, 101006, 103094.4, 101575.5, 112250.0, 118950.0, 131145.0, 132364, 0
150, 10, 2422, 101082, 103349.3, 101692.9, 113243.8, 119347.5, 125144.5, 134955, 0
160, 10, 2416, 101082, 103289.3, 101715.9, 112110.0, 120355.0, 131646.0, 132018, 0
170, 10, 2425, 101070, 103051.9, 101599.7, 111727.7, 119145.8, 126393.7, 127981, 0
180, 10, 2426, 101038, 103137.5, 101608.3, 111990.6, 121280.8, 129071.8, 136796, 0
190, 10, 2422, 101126, 103141.6, 101674.4, 111664.6, 118097.5, 122394.5, 125577, 0
200, 10, 2418, 101097, 103493.4, 101634.9, 113879.2, 120977.5, 123395.5, 124608, 0
210, 10, 2419, 101086, 103398.5, 101699.5, 112710.4, 121050.6, 133947.6, 136993, 0
220, 10, 2415, 101110, 103516.2, 101650.3, 113223.2, 120404.2, 131646.3, 136967, 0
230, 10, 2412, 101106, 103473.5, 101708.1, 113228.6, 119661.7, 129397.0, 131808, 0
240, 10, 2400, 101017, 104119.4, 101703.0, 114928.6, 123000.0, 202650.0, 210345, 0
250, 10, 2416, 101060, 103215.0, 101615.0, 112550.0, 120605.0, 135396.0, 137169, 0
260, 10, 2428, 101114, 103170.2, 101579.9, 112690.0, 121025.7, 130393.0, 132099, 0
270, 10, 2415, 101114, 103434.8, 101703.7, 112731.3, 119712.5, 125823.1, 126288, 0
280, 10, 2427, 101090, 102956.9, 101608.6, 111844.6, 116932.5, 127297.7, 127491, 0
290, 10, 2423, 101089, 103364.9, 101735.5, 112746.6, 118923.1, 126394.2, 129672, 0
300, 10, 2409, 101107, 103662.7, 101693.1, 113348.6, 121488.7, 129647.7, 131458, 0
310, 10, 2406, 101014, 103742.2, 101682.7, 113391.7, 121485.0, 136898.5, 301680, 0
320, 10, 2427, 101049, 102994.7, 101641.8, 111380.4, 118182.5, 126714.4, 129236, 0
