elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 95, 1034962, 2410363.7, 2506687.5, 4544781.3, 4548512.5, 4548726.3, 4548669, 0
20, 10, 85, 1504241, 2506493.6, 2506515.6, 3507937.5, 3508287.5, 3508478.8, 3508369, 0
30, 10, 105, 1504812, 2560820.6, 2508093.8, 3032979.2, 3509934.4, 3509993.4, 3509851, 0
40, 10, 110, 1503026, 2506580.7, 2506111.1, 3508975.0, 3511408.3, 3511490.8, 3511481, 0
50, 10, 90, 1503324, 2506148.2, 2506145.8, 3508291.7, 3508637.5, 3508738.8, 3508602, 0
60, 10, 105, 1503282, 2554241.2, 2506906.3, 3008218.8, 3509618.8, 3509736.9, 3509623, 0
70, 10, 100, 1503801, 2406709.5, 2506785.7, 3009000.0, 3509750.0, 3509975.0, 3509774, 0
80, 10, 95, 1504360, 2558992.1, 2506468.8, 3508515.6, 3521012.5, 3521226.3, 3521194, 0
90, 10, 100, 1505065, 2557216.6, 2507333.3, 3509250.0, 3510500.0, 3510725.0, 3510528, 0
100, 10, 105, 1503800, 2458847.8, 2506406.3, 3008468.8, 3509868.8, 3509986.9, 3509899, 0
110, 10, 90, 1503590, 2506770.0, 2506642.9, 3510062.5, 3510637.5, 3510738.8, 3510734, 0
120, 10, 105, 1504548, 2554987.1, 2507237.5, 3008993.1, 3509243.8, 3509473.8, 3509293, 0
130, 10, 100, 1503752, 2406714.3, 2506818.2, 3009750.0, 3509500.0, 3509725.0, 3509681, 0
140, 10, 105, 1504673, 2554766.2, 2507020.8, 3017937.5, 3509868.8, 3509986.9, 3509870, 0
150, 10, 90, 1503794, 2562715.6, 2507125.0, 3510031.3, 3510525.0, 3510727.5, 3510577, 0
160, 10, 105, 1504026, 2459861.0, 2506656.3, 3008187.5, 3509618.8, 3509736.9, 3509610, 0
170, 10, 90, 1503639, 2506330.2, 2507250.0, 3509875.0, 3510637.5, 3510738.8, 3510609, 0
180, 10, 105, 1503989, 2554436.0, 2506697.9, 3009187.5, 3509868.8, 3509986.9, 3509935, 0
190, 10, 100, 1503740, 2406609.6, 2506772.7, 3009000.0, 3509625.0, 3509737.5, 3509609, 0
200, 10, 105, 1504883, 2554395.6, 2506593.8, 3009187.5, 3509434.4, 3509493.4, 3509473, 0
210, 10, 90, 1532613, 2571647.0, 2509250.0, 3512281.3, 3512525.0, 3512727.5, 3512602, 0
220, 10, 105, 1504576, 2459562.9, 2507015.6, 3009437.5, 3509495.8, 3509723.8, 3509532, 0
230, 10, 100, 1504610, 2506970.5, 2506750.0, 3008500.0, 3510250.0, 3510475.0, 3510265, 0
240, 10, 110, 1503511, 2461524.1, 2507000.0, 3009375.0, 3508612.5, 3508736.3, 3508575, 0
250, 10, 85, 1504615, 2507348.8, 2506729.2, 3509312.5, 3509643.8, 3509739.4, 3509566, 0
260, 10, 105, 1503862, 2554448.0, 2506703.1, 3008718.8, 3509618.8, 3509736.9, 3509604, 0
270, 10, 110, 1503998, 2507011.6, 2506925.0, 3509875.0, 3510237.5, 3510472.5, 3510267, 0
280, 10, 90, 1504342, 2506772.3, 2506781.3, 3509125.0, 3509637.5, 3509738.8, 3509638, 0
290, 10, 105, 1503307, 2554177.0, 2507104.2, 3008687.5, 3508745.8, 3508973.8, 3508871, 0
300, 10, 100, 1503334, 2406117.7, 2506234.4, 3008500.0, 3508875.0, 3508987.5, 3508952, 0
310, 10, 95, 1504408, 2559459.8, 2506562.5, 3508770.8, 3509381.3, 3509488.1, 3509491, 0
320, 10, 100, 1504624, 2557425.7, 2507250.0, 3508750.0, 3513125.0, 3513237.5, 3513078, 0
