elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 6034, 101885, 390244.4, 234625.0, 1348037.5, 4074915.0, 4874741.5, 5000077, 302
20, 10, 8450, 101673, 383658.8, 218781.3, 1311625.0, 3533208.3, 4884193.8, 4990821, 474
30, 10, 18890, 101255, 269762.0, 205875.0, 454375.0, 2638025.0, 4902277.5, 4942234, 64
40, 10, 24011, 101096, 207352.9, 182149.3, 390060.4, 697722.5, 1469997.3, 2190581, 0
50, 10, 24355, 101059, 206041.1, 159300.6, 391531.3, 1286612.5, 2102661.3, 3729151, 0
60, 10, 28574, 100940, 174936.2, 145883.6, 315357.5, 556157.5, 1331356.5, 2494034, 0
70, 10, 35835, 100680, 138554.5, 121146.8, 235024.0, 300637.5, 484020.6, 836730, 0
80, 10, 43429, 100605, 113877.7, 107495.2, 146066.9, 209142.5, 259446.4, 312128, 0
90, 10, 43215, 100668, 114181.2, 107707.7, 146978.5, 210673.2, 251196.3, 286689, 0
100, 10, 43043, 100669, 114599.5, 107675.4, 153192.4, 215065.4, 237197.9, 268937, 0
110, 10, 43135, 100652, 114735.6, 108495.3, 148670.8, 211943.8, 265233.1, 283668, 0
120, 10, 42513, 100618, 116257.7, 109040.4, 154380.5, 229744.6, 251560.9, 279340, 0
130, 10, 42677, 100671, 115791.2, 109180.1, 154705.5, 224011.5, 273080.7, 325610, 0
140, 10, 43347, 100602, 114153.6, 107787.8, 145300.7, 208408.1, 257413.2, 294617, 0
150, 10, 41893, 100660, 117310.8, 109398.0, 158489.8, 227758.7, 301276.7, 344763, 0
160, 10, 42899, 100661, 115120.8, 109056.4, 148625.6, 199833.8, 258256.3, 265103, 0
170, 10, 43197, 100644, 114652.9, 108048.1, 149311.0, 215501.5, 245725.4, 302388, 0
180, 10, 43510, 100641, 113921.1, 107197.0, 149968.8, 225246.4, 250707.5, 304365, 0
190, 10, 43086, 100643, 114753.6, 107960.3, 150767.5, 222383.7, 269989.2, 317068, 0
200, 10, 43506, 100650, 113937.4, 107312.8, 144982.9, 224235.0, 263436.7, 300298, 0
210, 10, 42245, 100651, 116648.8, 109796.9, 156806.5, 225193.8, 287594.4, 312809, 0
220, 10, 43701, 100681, 113563.3, 106254.3, 146955.1, 227436.9, 265324.7, 314029, 0
230, 10, 42899, 100653, 115080.1, 107767.5, 149713.1, 231375.4, 259525.3, 310286, 0
240, 10, 43904, 100654, 112621.6, 106080.6, 146350.0, 205581.7, 262887.0, 292994, 0
250, 10, 43477, 100663, 113955.1, 107366.5, 142977.0, 222788.4, 265190.4, 280254, 0
260, 10, 43467, 100685, 113718.1, 106959.9, 144561.7, 213027.5, 297033.3, 306745, 0
270, 10, 42610, 100693, 116179.9, 109036.0, 154455.4, 227408.3, 285048.7, 321447, 0
280, 10, 43245, 100690, 114382.7, 107304.6, 149994.8, 229568.8, 271234.7, 291950, 0
290, 10, 43316, 100664, 114120.7, 106992.6, 148371.4, 236210.0, 299671.0, 315860, 0
300, 10, 44210, 100686, 112052.7, 105791.9, 140668.5, 201325.0, 305098.8, 329985, 0
310, 10, 43607, 100672, 113441.2, 106023.0, 150520.3, 232994.2, 278848.2, 301403, 0
320, 10, 42830, 100636, 115261.3, 108849.0, 146983.7, 218445.8, 267042.5, 353225, 0
330, 10, 43023, 100678, 114957.5, 107890.2, 150285.6, 224548.1, 263898.8, 288577, 0
340, 10, 42954, 100652, 115199.7, 108473.9, 149080.9, 216623.6, 252188.9, 291261, 0
350, 10, 42920, 100692, 114920.8, 108352.1, 149369.6, 221525.0, 257135.0, 300348, 0
360, 10, 42823, 100659, 115054.7, 108118.0, 158221.2, 223397.5, 259272.1, 288099, 0
370, 10, 43844, 100665, 113685.4, 106723.2, 147759.5, 211657.5, 256789.0, 320174, 0
380, 10, 42616, 100663, 115843.4, 108284.2, 158386.7, 224208.6, 268756.9, 310598, 0
390, 10, 43847, 100672, 112703.5, 107296.0, 141932.0, 192485.3, 230038.2, 257981, 0
400, 10, 42944, 100668, 114979.1, 108143.8, 146782.1, 232048.7, 274514.0, 286059, 0
410, 10, 43256, 100645, 114676.0, 108026.3, 148646.4, 232851.7, 286436.0, 322665, 0
420, 10, 43014, 100669, 114731.9, 108385.9, 147966.2, 212160.8, 242299.3, 436722, 0
430, 10, 43592, 100641, 113664.2, 107139.2, 149122.2, 219420.0, 250852.0, 273150, 0
440, 10, 43009, 100680, 114815.9, 107453.0, 152535.2, 218145.5, 261498.9, 286044, 0
450, 10, 43148, 100672, 113639.0, 107431.4, 145529.5, 200657.5, 251481.5, 291931, 0
460, 10, 41990, 100664, 117885.4, 109773.0, 161317.3, 230637.5, 267502.5, 310146, 0
470, 10, 41877, 100694, 117886.8, 110219.1, 154962.5, 242134.6, 277005.1, 290776, 0
480, 10, 43692, 100656, 112945.5, 106785.4, 143545.8, 200252.5, 232025.7, 327830, 0
490, 10, 43625, 100678, 113473.2, 107743.0, 142977.5, 215381.9, 265921.9, 301237, 0
500, 10, 43111, 100670, 114728.9, 107989.5, 147454.5, 225657.5, 272544.5, 303475, 0
510, 10, 43295, 100667, 114129.2, 107302.1, 147513.1, 229626.3, 259558.8, 280174, 0
520, 10, 43658, 100698, 113546.6, 107015.4, 144535.0, 219951.7, 271028.5, 289303, 0
530, 10, 43955, 100659, 112406.4, 106388.1, 141050.5, 207903.1, 231502.8, 319966, 0
540, 10, 43070, 100679, 114878.1, 107894.3, 151919.1, 230075.0, 280732.5, 302567, 0
550, 10, 42921, 100667, 115451.1, 108293.6, 153998.7, 222674.4, 266519.7, 286078, 0
560, 10, 43229, 100646, 113952.7, 107731.5, 144847.2, 214487.9, 266192.8, 301753, 0
570, 10, 43708, 100623, 113475.7, 107949.6, 145845.0, 203865.0, 243323.0, 298172, 0
580, 10, 43123, 100647, 114568.9, 107564.0, 147028.9, 229032.1, 267719.3, 275460, 0
590, 10, 42518, 100697, 115689.8, 109103.3, 149976.3, 216717.2, 255405.1, 268895, 0
600, 10, 42620, 100668, 114846.2, 108489.6, 149303.6, 203150.0, 241845.0, 288023, 0
601, 1, 4590, 100766, 121546.3, 111214.3, 209770.8, 230762.5, 238602.5, 254658, 0
