elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 27343, 101705, 159347.6, 128730.2, 194280.4, 414392.5, 3166138.1, 3320545, 0
20, 10, 33026, 102411, 164551.1, 130800.5, 175798.7, 789842.5, 3227996.8, 3308037, 0
30, 10, 26332, 101597, 177072.1, 129851.7, 205564.3, 3120105.0, 3173667.0, 3271849, 0
40, 10, 29962, 101828, 176209.8, 132191.1, 182048.3, 3120273.8, 3166759.5, 3191563, 0
50, 10, 31537, 102072, 156114.7, 134541.5, 176766.0, 374578.8, 3148980.8, 3327961, 0
60, 10, 25961, 101811, 185624.2, 126705.4, 195342.2, 3141798.8, 3191336.6, 3338309, 2
70, 10, 28565, 101748, 157753.4, 127832.0, 169977.7, 375695.8, 3161858.8, 3202943, 0
80, 10, 33685, 102176, 161771.4, 135787.8, 172631.3, 358509.4, 3230328.8, 3378219, 0
90, 10, 34034, 102750, 145164.6, 135239.4, 173137.5, 228883.0, 3163491.5, 3173074, 0
100, 10, 34175, 102476, 143976.1, 135703.0, 171864.2, 204906.3, 3141568.8, 3172832, 0
110, 10, 29958, 101828, 159431.5, 129107.4, 178876.8, 391588.7, 3175130.3, 3222838, 0
120, 10, 31679, 102098, 160497.1, 132015.9, 178927.2, 386302.5, 3155040.1, 3216955, 0
130, 10, 33119, 102522, 141779.0, 128336.1, 165125.9, 347650.8, 3139470.3, 3209011, 0
140, 10, 29315, 101692, 177187.5, 127100.6, 172290.6, 3146952.1, 3201921.3, 3264192, 0
150, 10, 33575, 102046, 145762.5, 128670.4, 168597.7, 369562.5, 3137303.1, 3187526, 0
160, 10, 35541, 102065, 139372.3, 132031.6, 162229.8, 183482.9, 3144307.4, 3179855, 0
170, 10, 32158, 102350, 153906.8, 128521.4, 163198.0, 270605.0, 3146460.5, 3259487, 0
180, 10, 35318, 102698, 139697.7, 134416.2, 167118.4, 194941.0, 390710.3, 3145528, 0
190, 10, 33806, 102142, 145384.9, 132403.5, 170689.2, 337911.7, 3167298.5, 3198756, 0
200, 10, 32330, 102343, 150413.6, 133484.0, 180697.9, 355731.3, 3123417.5, 3158279, 0
210, 10, 30550, 101973, 160231.1, 130772.6, 171885.9, 381075.0, 3164872.5, 4981577, 0
220, 10, 30116, 101843, 168514.5, 128365.1, 179435.7, 3112460.0, 3165471.0, 3213283, 0
230, 10, 32727, 101996, 144029.2, 130977.9, 175923.9, 272966.2, 3168142.1, 3242927, 0
240, 10, 33287, 102181, 149177.2, 132760.9, 183583.0, 370004.1, 3138235.6, 3169812, 0
250, 10, 33820, 102158, 151171.2, 133704.7, 166287.7, 204200.0, 3143272.5, 3168344, 0
260, 10, 32344, 102079, 152040.0, 129644.9, 171980.0, 333320.0, 3186164.0, 3234393, 0
270, 10, 31850, 102116, 146774.5, 130729.1, 168993.1, 327375.0, 3147787.5, 3197952, 0
280, 10, 31765, 101875, 163514.4, 131736.4, 175084.8, 395529.2, 3183827.2, 3216433, 0
290, 10, 30526, 101664, 161269.9, 131159.5, 176064.8, 367395.0, 3157368.5, 3187492, 0
300, 10, 33834, 102411, 145434.3, 133417.2, 173607.3, 201582.5, 3142041.5, 3179538, 0
310, 10, 33620, 102139, 143285.2, 132237.8, 170087.0, 219200.0, 3139547.5, 3215127, 0
320, 10, 32238, 102073, 153605.6, 130577.0, 169136.5, 366077.5, 3150190.5, 3215208, 0
330, 10, 29408, 101818, 154099.4, 123262.8, 173928.9, 417230.0, 3340799.3, 3350209, 53
