elapsed, window, total, successful, failed
10, 10, 73, 43, 30
20, 10, 120, 60, 60
30, 10, 100, 40, 60
40, 10, 120, 60, 60
50, 10, 100, 40, 60
60, 10, 120, 60, 60
70, 10, 100, 40, 60
80, 10, 120, 60, 60
90, 10, 100, 40, 60
100, 10, 120, 60, 60
110, 10, 100, 40, 60
120, 10, 120, 60, 60
130, 10, 100, 40, 60
140, 10, 120, 60, 60
150, 10, 100, 40, 60
160, 10, 120, 60, 60
170, 10, 100, 40, 60
180, 10, 120, 60, 60
190, 10, 100, 40, 60
200, 10, 120, 60, 60
210, 10, 100, 40, 60
220, 10, 117, 57, 60
230, 10, 103, 43, 60
240, 10, 117, 57, 60
250, 10, 103, 43, 60
260, 10, 117, 57, 60
270, 10, 103, 43, 60
280, 10, 117, 57, 60
290, 10, 103, 43, 60
300, 10, 117, 57, 60
310, 10, 103, 43, 60
320, 10, 117, 57, 60
330, 10, 103, 43, 60
340, 10, 117, 57, 60
350, 10, 103, 43, 60
360, 10, 117, 57, 60
370, 10, 103, 43, 60
380, 10, 117, 57, 60
390, 10, 103, 43, 60
400, 10, 117, 57, 60
410, 10, 103, 43, 60
420, 10, 117, 57, 60
430, 10, 103, 43, 60
440, 10, 117, 57, 60
450, 10, 103, 43, 60
460, 10, 117, 57, 60
470, 10, 103, 43, 60
480, 10, 117, 57, 60
490, 10, 103, 43, 60
500, 10, 117, 57, 60
510, 10, 103, 43, 60
520, 10, 100, 40, 60
530, 10, 120, 60, 60
540, 10, 100, 40, 60
550, 10, 120, 60, 60
560, 10, 100, 40, 60
570, 10, 120, 60, 60
580, 10, 100, 40, 60
590, 10, 120, 60, 60
600, 10, 100, 40, 60
601, 1, 47, 17, 30
