elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 583, 32958, 1093391.2, 755562.5, 3615462.5, 4656542.5, 4989604.3, 4989615, 64
20, 10, 1471, 11039, 675932.2, 624458.3, 1385862.5, 1755822.5, 2129882.3, 2182510, 0
30, 10, 1525, 9589, 670475.6, 586625.0, 1483937.5, 1924437.5, 2265868.8, 2290626, 0
40, 10, 1823, 7326, 542526.9, 488875.0, 1246212.5, 1635942.5, 2239044.3, 2446790, 0
50, 10, 1849, 7898, 543303.5, 485875.0, 1224137.5, 1639377.5, 2153037.8, 2452213, 0
60, 10, 2050, 6287, 485778.0, 422125.0, 1076812.5, 1509625.0, 1880987.5, 2174016, 0
70, 10, 2066, 7502, 483457.7, 455050.0, 989925.0, 1344585.0, 1585733.5, 1844760, 0
80, 10, 2226, 6507, 447281.0, 402500.0, 1011675.0, 1282217.5, 1549943.5, 1933780, 0
90, 10, 2349, 5873, 432240.1, 355875.0, 1031137.5, 1516877.5, 2036912.8, 2324720, 0
100, 10, 2491, 5858, 398556.3, 355125.0, 908362.5, 1193272.5, 1492377.3, 1624138, 0
110, 10, 2655, 4707, 383118.6, 316625.0, 976156.3, 1258612.5, 1737336.2, 2583282, 0
120, 10, 2961, 4176, 331071.0, 272625.0, 872487.5, 1339847.5, 1842009.8, 2271563, 0
130, 10, 2869, 4208, 347998.1, 295525.0, 854137.5, 1232577.5, 1814032.7, 2334805, 0
140, 10, 2872, 4524, 348644.5, 295375.0, 886600.0, 1213570.0, 1643282.0, 1866881, 0
150, 10, 2919, 4486, 343414.8, 291125.0, 956512.5, 1258202.5, 1714770.3, 1774750, 0
160, 10, 3112, 4428, 322682.1, 276000.0, 845100.0, 1218110.0, 1405222.0, 1501018, 0
170, 10, 3262, 3757, 308356.2, 251250.0, 851975.0, 1226845.0, 1724434.5, 2117183, 0
180, 10, 3699, 3582, 271478.3, 218937.5, 727762.5, 1060502.5, 1679825.2, 2252337, 0
190, 10, 3816, 3219, 261008.3, 197000.0, 754050.0, 1124460.0, 1407046.0, 2052498, 0
200, 10, 3579, 3334, 276860.4, 214208.3, 777012.5, 1096052.5, 1383105.3, 1664614, 0
210, 10, 4019, 3177, 250464.5, 198125.0, 734512.5, 1099952.5, 1515995.3, 1913068, 0
220, 10, 3934, 3144, 255988.6, 191500.0, 746825.0, 1091707.5, 1655016.5, 1962042, 0
230, 10, 3782, 3422, 261000.4, 203500.0, 751975.0, 1100295.0, 1723054.5, 2020674, 0
240, 10, 3923, 3048, 258354.7, 181458.3, 765481.3, 1198942.5, 1930269.2, 2167829, 0
250, 10, 4277, 2930, 236227.7, 184062.5, 672287.5, 915557.5, 1213180.8, 1407927, 0
260, 10, 4406, 2799, 223169.0, 152750.0, 682175.0, 927235.0, 1279148.5, 1703886, 0
270, 10, 4415, 2710, 223860.7, 157781.3, 715562.5, 1078712.5, 1475896.3, 1575971, 0
280, 10, 4568, 2665, 218408.0, 148875.0, 687400.0, 997580.0, 1452608.0, 1741253, 0
290, 10, 4643, 2689, 217712.8, 153875.0, 647462.5, 979892.5, 1430839.3, 1748030, 0
300, 10, 4669, 2827, 216173.3, 144291.7, 661387.5, 957327.5, 1453832.8, 1602480, 0
310, 10, 5046, 2442, 197391.7, 140500.0, 600425.0, 852385.0, 1197738.5, 1545707, 0
320, 10, 5246, 2399, 190875.2, 130678.6, 608425.0, 906135.0, 1361438.5, 1718473, 0
330, 10, 5094, 2620, 196134.2, 131750.0, 587075.0, 967765.0, 1272226.5, 1960423, 0
340, 10, 5438, 2274, 184087.9, 119812.5, 603025.0, 940405.0, 1243140.5, 1389324, 0
350, 10, 5308, 2469, 187909.9, 137500.0, 551400.0, 807480.0, 1151923.0, 1351396, 0
360, 10, 5544, 2333, 179197.2, 111375.0, 559450.0, 849890.0, 1036364.0, 1306742, 0
370, 10, 5660, 2134, 179013.0, 89125.0, 607500.0, 929100.0, 1233835.0, 1451395, 0
380, 10, 6485, 2007, 153641.1, 88906.3, 476468.8, 727537.5, 1071878.8, 1431206, 0
