elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 1981, 11786, 50298.5, 42664.8, 102118.7, 113432.5, 121418.3, 121536, 0
20, 10, 1940, 6512, 51405.3, 44410.7, 102916.7, 120050.0, 206515.0, 207073, 0
30, 10, 1937, 4065, 51610.6, 44425.0, 100929.2, 121302.5, 128882.9, 129410, 0
40, 10, 1948, 4082, 51137.5, 44687.5, 99550.0, 121940.0, 136690.7, 136943, 0
50, 10, 1981, 3612, 50241.0, 44487.5, 97995.8, 115297.5, 130084.9, 130220, 0
60, 10, 1929, 4299, 52000.8, 45859.4, 102487.5, 125309.2, 133839.3, 133876, 0
70, 10, 1941, 4066, 51422.5, 44988.6, 102397.5, 118965.8, 129014.7, 129337, 0
80, 10, 1949, 3937, 51216.3, 43541.7, 108943.7, 123063.8, 141506.4, 141559, 0
90, 10, 1909, 4361, 52246.9, 43708.3, 106712.5, 122556.9, 126924.2, 127079, 0
100, 10, 1933, 3772, 51657.0, 42625.0, 102195.8, 119667.5, 139588.9, 139720, 0
110, 10, 1969, 10653, 50592.0, 43778.8, 98879.2, 118413.7, 130128.9, 130273, 0
120, 10, 1921, 4442, 52013.9, 45437.5, 103996.9, 120924.4, 128634.9, 128935, 0
130, 10, 1884, 4358, 52975.2, 44625.0, 105487.5, 124596.7, 128779.0, 129166, 0
140, 10, 1951, 12179, 51172.0, 46437.5, 99123.6, 119061.3, 147506.1, 147532, 0
150, 10, 1955, 4987, 51140.7, 41234.4, 107007.8, 121537.5, 126440.3, 126650, 0
160, 10, 1976, 5839, 50535.8, 43130.4, 98675.0, 114640.0, 130878.0, 131210, 0
170, 10, 1934, 4162, 51399.7, 44596.2, 103108.3, 115735.8, 135016.5, 135266, 0
180, 10, 1889, 8775, 53128.0, 48781.3, 102637.5, 119277.5, 132013.9, 132147, 0
190, 10, 1931, 6583, 51719.6, 44259.6, 104772.5, 114403.8, 123839.1, 123829, 0
200, 10, 1984, 3987, 50352.1, 42869.0, 99850.0, 118290.0, 127834.7, 127972, 0
210, 10, 1983, 5576, 49980.2, 41918.8, 98803.1, 115521.3, 119252.1, 119431, 0
220, 10, 1971, 5955, 50740.0, 43904.4, 108556.2, 121940.8, 129128.6, 129287, 0
230, 10, 1920, 4064, 51942.3, 44750.0, 110250.0, 124150.0, 135270.0, 135617, 0
240, 10, 1948, 4747, 51361.3, 43166.7, 109912.5, 120976.0, 128263.0, 128640, 0
250, 10, 1946, 5782, 51420.1, 45455.9, 100462.5, 121721.3, 128837.8, 128959, 0
260, 10, 1975, 3812, 50517.5, 44806.8, 99462.5, 116312.5, 134918.8, 135073, 0
270, 10, 1917, 5656, 51871.3, 45175.0, 106634.4, 116207.5, 142880.2, 142897, 0
280, 10, 1971, 4232, 50966.5, 43182.7, 99944.6, 116072.5, 133626.8, 133636, 0
290, 10, 1952, 5842, 51181.1, 42840.9, 104775.0, 118620.0, 122256.0, 122434, 0
300, 10, 1917, 4469, 52071.3, 43215.9, 105326.8, 125819.2, 130173.6, 130387, 0
310, 10, 1991, 4363, 50060.4, 44360.3, 98862.5, 119007.5, 128001.1, 128131, 0
320, 10, 1983, 6784, 50208.1, 42368.1, 102356.2, 122021.3, 137002.1, 137087, 0
330, 10, 1951, 5486, 51406.6, 42637.5, 103287.5, 134040.8, 145920.8, 146312, 0
340, 10, 1979, 3814, 50379.2, 43010.4, 105512.5, 115302.5, 131255.3, 131521, 0
350, 10, 1909, 10272, 52345.8, 45920.5, 103471.9, 122863.8, 212272.7, 212526, 0
360, 10, 1901, 6518, 52372.0, 45026.8, 105676.8, 119497.5, 129762.4, 129897, 0
370, 10, 1904, 4774, 52605.6, 44666.7, 109450.0, 122398.0, 129091.3, 129110, 0
380, 10, 1917, 7040, 52013.9, 45177.1, 103134.4, 121957.5, 129885.4, 132825, 0
390, 10, 1931, 7824, 51770.4, 43766.3, 100060.4, 127203.2, 144629.3, 144731, 0
400, 10, 1957, 4084, 51022.2, 44052.1, 103012.5, 121053.8, 133130.4, 133377, 0
410, 10, 2007, 8321, 49759.4, 43809.2, 96978.1, 122732.5, 143374.1, 143588, 0
420, 10, 1904, 4092, 52195.6, 45886.4, 102650.0, 121740.0, 126881.0, 126841, 0
430, 10, 1983, 11136, 50399.3, 42781.3, 99673.2, 114792.5, 119334.8, 119463, 0
440, 10, 1971, 4196, 50506.5, 42520.8, 104357.8, 118464.5, 124753.6, 124825, 0
450, 10, 1979, 6584, 50355.9, 42147.7, 106690.6, 121776.3, 135168.4, 135545, 0
460, 10, 1919, 10291, 52172.1, 44925.0, 100585.4, 112575.4, 123010.1, 123222, 0
470, 10, 1965, 4088, 51037.0, 43117.2, 107312.5, 121146.9, 126169.6, 126461, 0
480, 10, 1973, 6532, 50527.1, 42526.8, 102362.5, 120689.2, 125835.6, 125811, 0
490, 10, 1880, 15722, 53020.0, 46750.0, 105950.0, 131683.3, 137765.0, 137832, 0
500, 10, 1969, 4086, 50815.5, 43023.4, 99712.5, 116965.5, 132753.9, 132977, 0
510, 10, 1915, 4467, 52235.5, 43943.2, 103854.2, 122154.2, 128923.8, 129005, 0
520, 10, 1984, 4572, 50022.0, 42980.8, 102487.5, 120520.0, 124752.0, 124921, 0
530, 10, 1953, 5366, 51415.2, 44075.0, 101695.8, 116341.9, 139505.9, 139678, 0
540, 10, 1945, 3743, 50873.0, 42965.9, 99546.9, 113659.4, 145878.4, 145937, 0
550, 10, 1920, 16332, 52419.6, 43428.6, 108625.0, 121550.0, 138010.0, 138128, 0
560, 10, 2016, 3937, 49423.8, 43116.7, 98775.0, 112615.0, 116665.3, 116876, 0
570, 10, 1965, 6011, 50859.5, 42548.1, 107046.9, 121459.4, 134004.4, 134230, 0
580, 10, 1957, 4294, 51120.1, 43362.5, 105345.8, 128428.8, 303260.7, 304289, 0
590, 10, 1961, 9653, 50714.5, 43589.3, 102662.5, 125048.7, 143504.9, 143651, 0
600, 10, 1979, 4214, 50499.1, 45335.2, 99420.8, 139763.1, 151627.6, 151766, 0
601, 1, 162, 23904, 54508.5, 52150.0, 101987.5, 102797.5, 102979.8, 102813, 0
