elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 969, 8195, 102661.8, 59791.7, 228887.5, 2267077.5, 2510757.7, 2510973, 0
20, 10, 1768, 5914, 56515.6, 44200.0, 142650.0, 212330.0, 1078808.0, 1132037, 0
30, 10, 2186, 4022, 45751.3, 37392.9, 110175.0, 183035.0, 241953.5, 260235, 0
40, 10, 2634, 3496, 38093.5, 29875.0, 101075.0, 148915.0, 234091.5, 262776, 0
50, 10, 3100, 3420, 32083.3, 25500.0, 82500.0, 124250.0, 175725.0, 272914, 0
60, 10, 2819, 3462, 35581.7, 27519.7, 103012.5, 140452.5, 186795.3, 228629, 0
70, 10, 2936, 3356, 34009.4, 23214.3, 95900.0, 169160.0, 503516.0, 628895, 0
80, 10, 3536, 2543, 28242.9, 19380.4, 88650.0, 139160.0, 202366.0, 219415, 0
90, 10, 5009, 2169, 19928.9, 14564.2, 59662.5, 101825.8, 159997.8, 185955, 0
100, 10, 5857, 2144, 17062.5, 12334.0, 45648.2, 81178.8, 138285.8, 255829, 0
110, 10, 5926, 2125, 16828.8, 12264.3, 44882.1, 81842.5, 120768.5, 162775, 0
120, 10, 6305, 2170, 15805.8, 11809.0, 42479.2, 70487.5, 103423.7, 200564, 0
130, 10, 6279, 2082, 15883.1, 11823.4, 42834.7, 68350.8, 110430.2, 177988, 0
140, 10, 6341, 2059, 15758.7, 11801.1, 42185.9, 71323.8, 110164.7, 160850, 0
150, 10, 6472, 2127, 15384.3, 11753.6, 40008.3, 66160.0, 101382.0, 149493, 0
160, 10, 6275, 2126, 15889.1, 12347.0, 41423.6, 67031.3, 105431.3, 147407, 0
170, 10, 6320, 2160, 15799.2, 11651.3, 43392.9, 73475.0, 109670.0, 140874, 0
180, 10, 6415, 2069, 15547.3, 11498.4, 41976.6, 69731.3, 100396.3, 169223, 0
190, 10, 6357, 2139, 15697.7, 11584.7, 41922.9, 74607.5, 119160.8, 218173, 0
200, 10, 6374, 2057, 15639.1, 11305.9, 42884.4, 76065.0, 144656.5, 170328, 0
210, 10, 6234, 2210, 16009.7, 11873.0, 41929.2, 75805.0, 101720.7, 131634, 0
220, 10, 6360, 2229, 15699.4, 11756.9, 41150.0, 72600.0, 113910.0, 150809, 0
230, 10, 6407, 2182, 15557.6, 11540.9, 42364.1, 69232.5, 115648.2, 145254, 0
240, 10, 6394, 2192, 15550.3, 11950.0, 40446.9, 71257.5, 103401.5, 170771, 0
250, 10, 6497, 2055, 15388.1, 11845.7, 40297.9, 70757.5, 106125.7, 231191, 0
260, 10, 6436, 2084, 15504.0, 11050.0, 43262.5, 73232.0, 114695.5, 161356, 0
270, 10, 6501, 2035, 15351.0, 11450.3, 40498.9, 69873.7, 117874.7, 220235, 0
280, 10, 6365, 2144, 15637.7, 11533.7, 42109.4, 71587.5, 113908.8, 146086, 0
290, 10, 6386, 2048, 15645.9, 11661.0, 43141.7, 72071.3, 101653.5, 131902, 0
300, 10, 6574, 2123, 15168.1, 11476.1, 40189.3, 65315.0, 109606.5, 162904, 0
310, 10, 6544, 2036, 15254.3, 11601.9, 40600.0, 67296.7, 93614.0, 116822, 0
320, 10, 6390, 2205, 15591.9, 11667.6, 42839.3, 68387.5, 106402.5, 141251, 0
330, 10, 6262, 2145, 15935.3, 11702.8, 41704.2, 73531.7, 164886.9, 181327, 0
340, 10, 6647, 2046, 15032.6, 10978.3, 41220.8, 70627.5, 97338.3, 109134, 0
350, 10, 6503, 2126, 15310.2, 10994.0, 41884.7, 74492.5, 109374.3, 151827, 0
360, 10, 6472, 2206, 15426.7, 10554.3, 44775.0, 79070.0, 115632.0, 169301, 0
370, 10, 6478, 2123, 15427.7, 11885.6, 40305.0, 65055.0, 92315.2, 116857, 0
380, 10, 6466, 2078, 15433.8, 11545.8, 42070.8, 67195.0, 97383.5, 184971, 0
