elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 3187, 2750, 30725.0, 17319.4, 93831.2, 266782.5, 585703.3, 790026, 0
20, 10, 3345, 2805, 30300.8, 16479.2, 94187.5, 240818.8, 401913.8, 3019738, 0
30, 10, 3350, 2827, 29291.5, 16875.0, 95125.0, 248625.0, 404912.5, 449717, 0
40, 10, 3341, 2770, 30383.2, 16662.0, 92737.5, 232647.5, 458164.8, 3040626, 0
50, 10, 3136, 2909, 31917.8, 18733.3, 99300.0, 261910.0, 462716.0, 652820, 0
60, 10, 3174, 2961, 31582.6, 18607.1, 101162.5, 259065.0, 389706.5, 430130, 0
70, 10, 3343, 2878, 29825.4, 18080.4, 90070.8, 238142.5, 391414.3, 509738, 0
80, 10, 3189, 2951, 31334.0, 18680.6, 95318.7, 243027.5, 411952.8, 437108, 0
90, 10, 3321, 2737, 30121.8, 17181.3, 95118.7, 253697.5, 410419.8, 467044, 0
100, 10, 3310, 2723, 30059.8, 17711.5, 95875.0, 244225.0, 393172.5, 588520, 0
110, 10, 3305, 2774, 30313.4, 17041.7, 101437.5, 229987.5, 413673.8, 553260, 0
120, 10, 3277, 2897, 30488.6, 18091.7, 95787.5, 223807.5, 397180.8, 599990, 0
130, 10, 3251, 2813, 30571.0, 17975.0, 96681.2, 259372.5, 433437.2, 555736, 0
140, 10, 3288, 2731, 30408.4, 16547.6, 96650.0, 252780.0, 431678.0, 506104, 0
150, 10, 3305, 2873, 30328.7, 17468.8, 93218.8, 239987.5, 364673.8, 494849, 0
160, 10, 3355, 2748, 29856.7, 17458.3, 93270.8, 253112.5, 432911.3, 511706, 0
170, 10, 3344, 2822, 29852.2, 17178.6, 97850.0, 238390.0, 420664.0, 445918, 0
180, 10, 3250, 2804, 30611.6, 17150.0, 97187.5, 289375.0, 452187.5, 510814, 0
190, 10, 3289, 2851, 30435.6, 17458.3, 96193.7, 260277.5, 427927.7, 505402, 0
200, 10, 3317, 2835, 30024.8, 17493.1, 93787.5, 253207.5, 419420.8, 551475, 0
210, 10, 3325, 2820, 30117.2, 16977.9, 99093.8, 262187.5, 454668.8, 600002, 0
220, 10, 3231, 2817, 30635.3, 17532.9, 99612.5, 268422.5, 386942.2, 464470, 0
230, 10, 3220, 2757, 31205.9, 17446.4, 98750.0, 252700.0, 431445.0, 3041286, 0
240, 10, 3231, 2943, 31117.5, 18595.6, 96120.8, 249422.5, 437221.1, 481892, 0
250, 10, 3367, 3060, 29311.6, 18758.9, 91081.2, 230832.5, 390908.2, 506092, 0
260, 10, 3332, 2821, 30322.6, 17593.8, 99850.0, 238920.0, 393917.0, 590077, 0
270, 10, 3345, 2918, 29663.0, 17937.5, 92937.5, 226387.5, 373163.8, 411194, 0
280, 10, 3314, 2754, 30240.3, 17966.7, 93825.0, 229715.0, 409171.5, 467830, 0
290, 10, 3280, 2971, 30518.9, 17704.5, 102625.0, 230300.0, 421430.0, 496894, 0
300, 10, 3333, 2852, 29965.0, 17791.7, 94668.7, 238667.5, 412916.7, 593006, 0
310, 10, 3260, 2878, 30454.9, 17794.1, 100250.0, 249850.0, 434185.0, 537102, 0
320, 10, 3225, 2891, 31069.4, 17822.9, 94187.5, 246187.5, 461443.8, 564403, 0
330, 10, 3362, 2591, 29805.1, 17176.5, 95741.7, 267345.0, 402909.5, 595257, 0
340, 10, 3397, 2865, 29419.7, 16906.3, 89518.7, 250003.7, 434400.8, 565943, 0
350, 10, 3275, 2862, 30409.3, 18291.7, 94406.3, 225312.5, 394181.2, 519818, 0
360, 10, 3336, 2963, 30070.7, 17566.7, 90525.0, 228160.0, 384666.0, 568840, 0
370, 10, 3275, 2651, 30476.2, 17816.2, 95062.5, 253062.5, 463181.2, 539202, 0
380, 10, 3310, 2854, 29928.2, 17381.0, 94937.5, 245725.0, 436672.5, 532039, 0
390, 10, 3403, 2946, 29607.7, 16399.0, 91962.5, 253242.5, 412649.3, 3031660, 0
400, 10, 3275, 2812, 30325.7, 17645.8, 96906.3, 247812.5, 420181.2, 512317, 0
410, 10, 3327, 2787, 30169.3, 18298.1, 89412.5, 253432.5, 412334.1, 542959, 0
420, 10, 3186, 2722, 31302.2, 16725.0, 94141.7, 292785.0, 474453.5, 3064828, 0
430, 10, 3264, 2936, 30615.6, 17455.9, 94975.0, 265840.0, 456434.0, 517404, 0
440, 10, 3247, 2627, 30757.0, 16685.3, 98912.5, 279382.5, 421688.3, 585504, 0
450, 10, 3152, 2799, 31591.5, 18309.5, 92600.0, 264870.0, 546212.0, 948633, 0
460, 10, 3350, 2850, 29935.0, 17785.7, 93375.0, 251125.0, 414912.5, 569734, 0
470, 10, 3325, 2747, 29937.5, 17257.4, 92968.8, 270937.5, 449418.8, 537370, 0
480, 10, 3293, 2729, 30436.5, 18589.3, 96087.5, 236517.5, 400176.7, 481708, 0
490, 10, 3329, 2580, 30061.7, 15856.2, 92193.7, 259677.5, 508417.7, 3018166, 0
500, 10, 3355, 2902, 29647.4, 17243.4, 95031.3, 241112.5, 440330.6, 455228, 0
510, 10, 3389, 2754, 29592.5, 17281.3, 86443.7, 272027.5, 457652.7, 545892, 0
520, 10, 3360, 2916, 29783.6, 16750.0, 95000.0, 252100.0, 414410.0, 443679, 0
530, 10, 3322, 2883, 29858.3, 17093.8, 90975.0, 271195.0, 491669.5, 574231, 0
540, 10, 3255, 2716, 30848.4, 17539.1, 94562.5, 284612.5, 451686.2, 488443, 0
550, 10, 3294, 2838, 30332.3, 17678.6, 92412.5, 250765.0, 432176.5, 528309, 0
560, 10, 3334, 2746, 29988.7, 17750.0, 92537.5, 255165.0, 459666.5, 519908, 0
570, 10, 3257, 2825, 30613.7, 17784.1, 95037.5, 264607.5, 433435.8, 494327, 0
580, 10, 3291, 2899, 30320.0, 18923.6, 90403.1, 228522.5, 398177.2, 414765, 0
590, 10, 3276, 3009, 30599.0, 18239.6, 96800.0, 244060.0, 424181.0, 483358, 0
600, 10, 3321, 2721, 29981.0, 17901.3, 90987.5, 234447.5, 393169.8, 533981, 0
601, 1, 318, 2979, 28905.5, 18416.7, 96525.0, 246705.0, 275920.5, 275847, 0
