elapsed, window, total, successful, failed
10, 10, 1157, 1157, 0
20, 10, 1891, 1891, 0
30, 10, 1988, 1988, 0
40, 10, 2236, 2236, 0
50, 10, 2983, 2983, 0
60, 10, 2746, 2746, 0
70, 10, 3057, 3057, 0
80, 10, 3242, 3242, 0
90, 10, 3580, 3580, 0
100, 10, 3746, 3746, 0
110, 10, 4570, 4570, 0
120, 10, 6607, 6607, 0
130, 10, 6844, 6844, 0
140, 10, 7054, 7054, 0
150, 10, 7198, 7198, 0
160, 10, 7222, 7222, 0
170, 10, 7130, 7130, 0
180, 10, 7341, 7341, 0
190, 10, 7294, 7294, 0
200, 10, 6900, 6900, 0
210, 10, 7194, 7194, 0
220, 10, 7200, 7200, 0
230, 10, 7069, 7069, 0
240, 10, 7215, 7215, 0
250, 10, 7105, 7105, 0
260, 10, 7230, 7230, 0
270, 10, 7109, 7109, 0
280, 10, 7135, 7135, 0
290, 10, 7245, 7245, 0
300, 10, 7397, 7397, 0
310, 10, 7291, 7291, 0
320, 10, 7238, 7238, 0
330, 10, 7372, 7372, 0
340, 10, 7226, 7226, 0
350, 10, 7201, 7201, 0
360, 10, 7354, 7354, 0
370, 10, 7220, 7220, 0
380, 10, 7234, 7234, 0
390, 10, 7242, 7242, 0
400, 10, 7288, 7288, 0
410, 10, 7196, 7196, 0
420, 10, 7150, 7150, 0
430, 10, 7179, 7179, 0
440, 10, 7226, 7226, 0
450, 10, 7140, 7140, 0
460, 10, 7179, 7179, 0
470, 10, 7222, 7222, 0
480, 10, 7161, 7161, 0
490, 10, 7264, 7264, 0
500, 10, 7331, 7331, 0
510, 10, 7166, 7166, 0
520, 10, 7095, 7095, 0
530, 10, 7185, 7185, 0
540, 10, 7353, 7353, 0
550, 10, 7206, 7206, 0
560, 10, 7096, 7096, 0
570, 10, 7190, 7190, 0
580, 10, 7255, 7255, 0
590, 10, 7127, 7127, 0
600, 10, 7275, 7275, 0
610, 10, 7219, 7219, 0
620, 10, 7324, 7324, 0
630, 10, 7262, 7262, 0
640, 10, 7253, 7253, 0
650, 10, 7353, 7353, 0
660, 10, 7390, 7390, 0
670, 10, 7279, 7279, 0
680, 10, 7060, 7060, 0
690, 10, 7320, 7320, 0
700, 10, 7131, 7131, 0
710, 10, 7042, 7042, 0
720, 10, 7272, 7272, 0
730, 10, 7228, 7228, 0
740, 10, 7217, 7217, 0
750, 10, 7404, 7404, 0
760, 10, 7291, 7291, 0
770, 10, 7179, 7179, 0
780, 10, 7361, 7361, 0
790, 10, 7309, 7309, 0
800, 10, 7288, 7288, 0
810, 10, 7117, 7117, 0
820, 10, 7258, 7258, 0
830, 10, 7209, 7209, 0
840, 10, 7249, 7249, 0
850, 10, 7347, 7347, 0
860, 10, 7236, 7236, 0
870, 10, 7290, 7290, 0
