elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 2392, 3712, 103700.5, 83916.7, 223600.0, 470020.0, 912402.0, 990644, 0
20, 10, 2590, 3727, 96450.6, 79000.0, 212562.5, 466525.0, 606852.5, 680659, 0
30, 10, 2542, 3434, 98278.8, 83833.3, 196862.5, 452395.0, 622864.5, 750223, 0
40, 10, 2618, 2859, 95438.2, 79000.0, 202525.0, 450955.0, 625095.5, 764397, 0
50, 10, 2581, 3719, 96592.9, 81520.8, 206993.7, 440297.5, 643854.8, 696985, 0
60, 10, 2501, 4468, 100216.9, 83275.0, 214987.5, 436497.5, 632374.7, 734879, 0
70, 10, 2518, 2823, 99313.7, 82156.3, 221275.0, 422455.0, 614370.5, 899400, 0
80, 10, 2668, 3448, 93490.0, 78925.0, 205400.0, 423080.0, 687833.0, 807079, 0
90, 10, 2553, 3718, 98153.7, 79651.8, 223543.7, 460867.5, 664611.8, 748426, 0
100, 10, 2628, 3330, 94722.9, 78916.7, 202825.0, 425180.0, 621593.0, 696612, 0
110, 10, 2605, 3828, 96254.5, 80862.5, 203718.8, 426487.5, 667848.8, 700608, 0
120, 10, 2578, 3828, 96543.6, 80416.7, 213525.0, 409555.0, 694355.5, 931399, 0
130, 10, 2628, 3787, 95472.7, 79972.2, 208800.0, 427180.0, 623843.0, 807214, 0
140, 10, 2601, 2818, 95833.9, 80937.5, 208368.7, 420623.7, 637599.8, 672983, 0
150, 10, 2543, 3223, 98134.8, 81910.7, 211712.5, 442392.5, 646864.3, 762561, 0
160, 10, 2593, 3342, 96542.7, 80612.5, 208587.5, 444267.5, 624601.8, 725771, 0
170, 10, 2607, 3406, 95680.5, 80906.3, 205706.3, 445232.5, 660098.3, 724604, 0
180, 10, 2586, 3530, 96877.6, 81500.0, 198925.0, 472035.0, 679353.5, 737155, 0
190, 10, 2620, 3720, 95234.5, 80437.5, 200500.0, 416950.0, 644095.0, 694840, 0
200, 10, 2573, 3414, 97090.7, 80895.8, 205337.5, 422317.5, 625356.8, 677942, 0
210, 10, 2581, 3352, 96627.9, 81375.0, 208487.5, 464297.5, 668354.8, 689977, 0
220, 10, 2557, 3494, 97626.4, 82462.5, 211037.5, 444857.5, 595110.8, 771097, 0
230, 10, 2538, 3199, 98672.7, 81375.0, 214387.5, 409905.0, 715865.5, 763914, 0
240, 10, 2590, 4288, 96339.9, 81075.0, 208125.0, 421525.0, 670852.5, 827178, 0
250, 10, 2607, 3769, 96225.5, 80375.0, 210662.5, 438482.5, 683098.3, 748582, 0
260, 10, 2547, 3653, 97749.1, 82062.5, 207912.5, 419382.5, 648113.3, 707905, 0
270, 10, 2525, 4382, 99433.4, 82859.4, 214437.5, 411187.5, 632368.8, 641981, 0
280, 10, 2567, 2977, 97186.7, 82640.6, 206162.5, 428582.5, 722108.3, 838072, 0
290, 10, 2594, 3502, 96068.9, 79196.4, 212912.5, 448765.0, 683601.5, 831511, 0
300, 10, 2572, 4047, 97291.4, 81027.8, 208350.0, 429570.0, 648607.0, 755795, 0
310, 10, 2579, 3512, 96916.2, 79553.6, 218381.2, 432651.3, 559605.3, 642870, 0
320, 10, 2625, 3138, 95063.3, 80171.9, 207687.5, 410187.5, 555093.8, 646923, 0
330, 10, 2472, 3317, 101236.9, 83500.0, 219925.0, 474570.0, 692382.0, 728268, 0
340, 10, 2544, 3278, 98463.1, 82321.4, 211950.0, 426640.0, 536364.0, 656493, 0
350, 10, 2571, 3888, 97339.4, 80453.1, 206806.2, 439822.5, 648607.3, 709326, 0
360, 10, 2615, 4069, 95311.1, 79180.6, 203906.3, 436212.5, 687096.3, 711422, 0
