elapsed, window, total, successful, failed
10, 10, 2392, 2392, 0
20, 10, 2590, 2590, 0
30, 10, 2542, 2542, 0
40, 10, 2618, 2618, 0
50, 10, 2581, 2581, 0
60, 10, 2501, 2501, 0
70, 10, 2518, 2518, 0
80, 10, 2668, 2668, 0
90, 10, 2553, 2553, 0
100, 10, 2628, 2628, 0
110, 10, 2605, 2605, 0
120, 10, 2578, 2578, 0
130, 10, 2628, 2628, 0
140, 10, 2601, 2601, 0
150, 10, 2543, 2543, 0
160, 10, 2593, 2593, 0
170, 10, 2607, 2607, 0
180, 10, 2586, 2586, 0
190, 10, 2620, 2620, 0
200, 10, 2573, 2573, 0
210, 10, 2581, 2581, 0
220, 10, 2557, 2557, 0
230, 10, 2538, 2538, 0
240, 10, 2590, 2590, 0
250, 10, 2607, 2607, 0
260, 10, 2547, 2547, 0
270, 10, 2525, 2525, 0
280, 10, 2567, 2567, 0
290, 10, 2594, 2594, 0
300, 10, 2572, 2572, 0
310, 10, 2579, 2579, 0
320, 10, 2625, 2625, 0
330, 10, 2472, 2472, 0
340, 10, 2544, 2544, 0
350, 10, 2571, 2571, 0
360, 10, 2615, 2615, 0
370, 10, 2638, 2638, 0
380, 10, 2656, 2656, 0
390, 10, 2635, 2635, 0
400, 10, 2639, 2639, 0
410, 10, 2684, 2684, 0
420, 10, 2585, 2585, 0
430, 10, 2551, 2551, 0
440, 10, 2680, 2680, 0
450, 10, 2625, 2625, 0
460, 10, 2533, 2533, 0
470, 10, 2612, 2612, 0
480, 10, 2590, 2590, 0
490, 10, 2527, 2527, 0
500, 10, 2622, 2622, 0
510, 10, 2607, 2607, 0
520, 10, 2561, 2561, 0
530, 10, 2550, 2550, 0
540, 10, 2615, 2615, 0
550, 10, 2600, 2600, 0
560, 10, 2624, 2624, 0
570, 10, 2595, 2595, 0
580, 10, 2563, 2563, 0
590, 10, 2634, 2634, 0
600, 10, 2604, 2604, 0
601, 1, 205, 205, 0
