elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 4763, 88630, 208174.2, 188175.0, 338462.5, 621342.5, 758154.6, 1088742, 0
20, 10, 5016, 117640, 199107.1, 190678.6, 274350.0, 469460.0, 666996.0, 817697, 0
30, 10, 4783, 112535, 208410.3, 192296.9, 330856.2, 487292.5, 690804.2, 786728, 0
40, 10, 4897, 106450, 204040.2, 196163.5, 279787.5, 467757.5, 660775.8, 771819, 0
50, 10, 4939, 104421, 202509.6, 190526.8, 291315.6, 464652.5, 670507.6, 723189, 0
60, 10, 4965, 100622, 201721.7, 189492.2, 274234.4, 477837.5, 1147008.8, 2205803, 0
70, 10, 4779, 111164, 209186.1, 198812.5, 295381.3, 500651.3, 668055.2, 760696, 0
80, 10, 4922, 103262, 202416.8, 194113.6, 277825.0, 467945.0, 670269.5, 868590, 0
90, 10, 4984, 101085, 201027.1, 191576.1, 273650.0, 475290.0, 664754.0, 757582, 0
100, 10, 4896, 105570, 204758.7, 192645.8, 319512.5, 509010.0, 658026.0, 690859, 0
110, 10, 4731, 112694, 210628.4, 197443.2, 303431.3, 483672.5, 666567.3, 753988, 0
120, 10, 4997, 110408, 200909.6, 191198.5, 283512.5, 450257.5, 656250.7, 749160, 0
130, 10, 4786, 105300, 208513.6, 193722.2, 308175.0, 501285.0, 736803.5, 798522, 0
140, 10, 4717, 110390, 212184.9, 196715.9, 332037.5, 476457.5, 656570.8, 829699, 0
150, 10, 4647, 125101, 215121.0, 200802.1, 311706.2, 504132.5, 678588.3, 739501, 0
160, 10, 4968, 103722, 201676.7, 189428.6, 299883.3, 471580.0, 648758.0, 885023, 0
170, 10, 4850, 115402, 204927.1, 194950.0, 284125.0, 466375.0, 1142287.5, 3782121, 0
180, 10, 4720, 102946, 213192.1, 202203.1, 301125.0, 493450.0, 690570.0, 747755, 0
190, 10, 4876, 100002, 203567.5, 197266.7, 281800.0, 471810.0, 638281.0, 692810, 0
200, 10, 4841, 114444, 207861.5, 195458.3, 309237.5, 477448.8, 620289.7, 754055, 0
210, 10, 4803, 115540, 207863.3, 200097.2, 284481.2, 479242.5, 705049.3, 768904, 0
220, 10, 4574, 126345, 217590.8, 207394.7, 293225.0, 511815.0, 680606.5, 731983, 0
230, 10, 5040, 98932, 199568.2, 189183.3, 281000.0, 480650.0, 686490.0, 741494, 0
240, 10, 4926, 108333, 203242.1, 195166.7, 285087.5, 478935.0, 613268.5, 778091, 0
250, 10, 4857, 107397, 205386.4, 198261.4, 284929.2, 468357.5, 738642.9, 2378894, 0
260, 10, 4929, 123247, 202689.9, 188232.1, 295943.8, 478677.5, 696767.8, 780559, 0
270, 10, 4921, 106552, 203269.2, 188837.5, 318912.5, 472697.5, 664769.7, 724556, 0
280, 10, 4930, 101484, 202991.9, 190808.8, 288687.5, 487675.0, 758767.5, 973153, 0
290, 10, 4906, 97616, 203540.6, 192125.0, 302058.3, 467985.0, 613523.5, 684848, 0
300, 10, 4668, 114009, 214616.1, 201982.1, 310050.0, 509080.0, 697833.0, 1016942, 0
310, 10, 4703, 114661, 211493.7, 201125.0, 294231.2, 482992.5, 634574.2, 882957, 0
320, 10, 4868, 115532, 206974.6, 194312.5, 301287.5, 481080.0, 674283.0, 841224, 0
330, 10, 4709, 88595, 211848.7, 194921.9, 333568.8, 499227.5, 665072.8, 718720, 0
340, 10, 4772, 107877, 209814.2, 201961.5, 300550.0, 478070.0, 631057.0, 775182, 0
350, 10, 4650, 102205, 214937.0, 204227.3, 313062.5, 500375.0, 703587.5, 765932, 0
360, 10, 4730, 103242, 209267.4, 198597.2, 297812.5, 492675.0, 853067.5, 1055563, 0
370, 10, 4869, 105590, 207685.7, 194329.5, 317568.8, 494077.5, 787532.8, 1599126, 0
380, 10, 5037, 103548, 197560.0, 189125.0, 267787.5, 447657.5, 610495.4, 682788, 0
390, 10, 4696, 109227, 214279.0, 203850.0, 316300.0, 492260.0, 700826.0, 852800, 0
400, 10, 4626, 107413, 215641.9, 205166.7, 300168.8, 504435.0, 801843.5, 1185955, 0
410, 10, 4951, 108345, 201991.7, 193114.6, 287362.5, 476622.5, 655762.3, 727898, 0
420, 10, 4961, 122270, 201274.9, 191932.7, 276618.8, 460347.5, 667259.7, 780731, 0
430, 10, 5006, 106472, 199292.7, 187571.4, 277856.3, 472985.0, 636998.5, 705204, 0
440, 10, 4972, 95937, 202082.9, 190125.0, 299020.0, 494070.0, 1019757.0, 1638423, 0
450, 10, 4706, 107709, 212441.9, 193281.3, 336462.5, 508485.0, 735323.5, 1822074, 0
460, 10, 4923, 111573, 202870.1, 193637.5, 279154.2, 488192.5, 627519.3, 789029, 0
470, 10, 4873, 113138, 205466.0, 187520.8, 303195.8, 481908.7, 669281.8, 744011, 0
480, 10, 4967, 105347, 200584.4, 188118.1, 284956.2, 468082.5, 1066008.3, 1718481, 0
490, 10, 4922, 108129, 203952.8, 193958.3, 302487.5, 472695.0, 649769.5, 739304, 0
500, 10, 4809, 109638, 207616.4, 198743.4, 289346.9, 480227.5, 662297.7, 755115, 0
510, 10, 5086, 86589, 195815.7, 177178.6, 305462.5, 459785.0, 690478.5, 1529579, 0
520, 10, 4881, 107489, 206057.5, 191054.7, 317118.7, 489547.5, 698779.7, 841842, 0
530, 10, 4917, 106366, 202596.3, 190506.9, 291512.5, 469207.5, 624770.7, 784434, 0
540, 10, 4898, 112447, 204500.7, 195363.6, 285637.5, 476755.0, 664275.5, 757242, 0
550, 10, 4783, 109530, 208940.9, 204241.1, 277737.5, 477792.5, 732304.2, 761035, 0
560, 10, 4893, 99011, 204266.7, 190198.5, 302112.5, 467017.5, 696526.8, 783262, 0
570, 10, 5088, 105995, 197112.9, 181937.5, 284800.0, 457280.0, 739228.0, 2428634, 0
