elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 3780, 2715, 26254.7, 19738.6, 58718.8, 200800.0, 385305.0, 432762, 0
20, 10, 3909, 2817, 25596.5, 18839.3, 56284.4, 222227.5, 329022.7, 363603, 0
30, 10, 3797, 3041, 26217.2, 19464.7, 58509.4, 215507.5, 331300.8, 356907, 0
40, 10, 3754, 2896, 26678.6, 20200.0, 57608.3, 223932.5, 329811.5, 490901, 0
50, 10, 3832, 2610, 26050.8, 19397.1, 59175.0, 202210.0, 300042.0, 320961, 0
60, 10, 3728, 2959, 26775.4, 19548.4, 61200.0, 211090.0, 356818.0, 441934, 0
70, 10, 3746, 3023, 26694.9, 19458.3, 58225.0, 210635.0, 351563.5, 367593, 0
80, 10, 3743, 2897, 26612.0, 19375.0, 62154.2, 194642.5, 307064.3, 420030, 0
90, 10, 4004, 2990, 25001.5, 18368.1, 54350.0, 197240.0, 346749.0, 371361, 0
100, 10, 3916, 2711, 25467.5, 19000.0, 57525.0, 201460.0, 285521.0, 326511, 0
110, 10, 3935, 2720, 25368.4, 18745.5, 59031.3, 193912.5, 342766.3, 385096, 0
120, 10, 3665, 2845, 27236.9, 20724.0, 60109.4, 214837.5, 363333.8, 407885, 0
130, 10, 3891, 3108, 25638.3, 19094.7, 56931.2, 203272.5, 298527.3, 360261, 0
140, 10, 3702, 3057, 26917.1, 20725.8, 60112.5, 218245.0, 326912.2, 381031, 0
150, 10, 3887, 2676, 25692.7, 19055.9, 55804.2, 210141.3, 333778.2, 363707, 0
160, 10, 3722, 3275, 26713.0, 19830.6, 59158.3, 228945.0, 321069.5, 353115, 0
170, 10, 3731, 2717, 26874.4, 20567.0, 61537.5, 206422.5, 302067.2, 363676, 0
180, 10, 3773, 2692, 26361.6, 19654.6, 60543.7, 209439.2, 339556.7, 384368, 0
190, 10, 3900, 2886, 25723.6, 19235.7, 57500.0, 214250.0, 336525.0, 364230, 0
200, 10, 3905, 2882, 25539.4, 19162.9, 55229.2, 217487.5, 307523.7, 314200, 0
210, 10, 4020, 2882, 24848.1, 18109.4, 57000.0, 189950.0, 288245.0, 353130, 0
220, 10, 3984, 2830, 25009.8, 18718.8, 55900.0, 197040.0, 314254.0, 360277, 0
230, 10, 3985, 3204, 25130.6, 18425.0, 55593.8, 210287.5, 295253.7, 319202, 0
240, 10, 3810, 2725, 26193.1, 19625.0, 56875.0, 210908.3, 325797.5, 497225, 0
250, 10, 3887, 2782, 25576.2, 19217.6, 55282.5, 200532.5, 290778.2, 303159, 0
260, 10, 3802, 2695, 26381.4, 19625.0, 57987.5, 211245.0, 338049.5, 402182, 0
270, 10, 3935, 2958, 25341.6, 18196.4, 58812.5, 193912.5, 311016.3, 357836, 0
280, 10, 4024, 2783, 24754.0, 18213.2, 55237.5, 190190.0, 283744.0, 407091, 0
290, 10, 3936, 2788, 25378.4, 18290.3, 59016.7, 206910.0, 293766.0, 331959, 0
300, 10, 3958, 2762, 25289.8, 18241.7, 57775.0, 206605.0, 337510.5, 370653, 0
310, 10, 3909, 2906, 25408.4, 19302.8, 57909.4, 199227.5, 327022.7, 445544, 0
320, 10, 3997, 3321, 25046.1, 18820.8, 57018.7, 209003.7, 321000.8, 346700, 0
330, 10, 3985, 2902, 25107.5, 18525.0, 55093.8, 199537.5, 326503.7, 400916, 0
340, 10, 3944, 2824, 25262.9, 18956.9, 55733.3, 217390.0, 303264.0, 351042, 0
350, 10, 3986, 2863, 24940.3, 17950.0, 54391.7, 216785.0, 319253.5, 394451, 0
360, 10, 3853, 2948, 25993.3, 19521.6, 56945.8, 204617.5, 312786.8, 375506, 0
370, 10, 3941, 2779, 25403.4, 18589.3, 60412.5, 204897.5, 313014.8, 361190, 0
