elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 3026, 3351, 32769.9, 26437.5, 79573.4, 84145.0, 93993.5, 100919, 0
20, 10, 3060, 3480, 32617.4, 22867.6, 79644.7, 85150.0, 89485.0, 96856, 0
30, 10, 3062, 3570, 32512.3, 26196.4, 79775.0, 85422.5, 87484.5, 96632, 0
40, 10, 3037, 3771, 33003.6, 26545.5, 79763.7, 88226.9, 95740.8, 96206, 0
50, 10, 3039, 3547, 32680.5, 25787.5, 79313.0, 83475.6, 90745.1, 91502, 0
60, 10, 3056, 3942, 32718.6, 26471.3, 79752.3, 85072.0, 95434.0, 95836, 0
70, 10, 3019, 3562, 32937.5, 26304.9, 79750.6, 86202.5, 93122.6, 99457, 0
80, 10, 3046, 3744, 32828.7, 26298.1, 79546.0, 83128.3, 91497.1, 93752, 0
90, 10, 3081, 3423, 32306.3, 20375.0, 79390.8, 84761.9, 95739.9, 105168, 0
100, 10, 3039, 3715, 32866.2, 26342.8, 80034.2, 85913.1, 94330.1, 94728, 0
110, 10, 3045, 4252, 32741.9, 26597.4, 79261.0, 87045.8, 91329.6, 91701, 0
120, 10, 3051, 3750, 32671.9, 26400.3, 79758.8, 82968.1, 98368.6, 233877, 0
130, 10, 3039, 3321, 32836.3, 21513.9, 79365.9, 87858.8, 220913.4, 3070029, 0
140, 10, 3022, 3615, 32995.7, 21750.0, 80446.1, 90722.5, 104936.1, 105364, 0
150, 10, 3031, 3179, 32846.7, 18460.6, 78714.8, 86672.5, 243246.1, 3050089, 0
160, 10, 3064, 3829, 32468.7, 26467.5, 79570.2, 86620.0, 101234.0, 101581, 0
170, 10, 3037, 3214, 32936.3, 26505.5, 79691.5, 85281.5, 86870.4, 90405, 0
180, 10, 3059, 3495, 32564.5, 25925.0, 79610.2, 84220.5, 95485.2, 102275, 0
190, 10, 3034, 3754, 32866.6, 26529.9, 79353.0, 84165.0, 91241.5, 92350, 0
200, 10, 3046, 3837, 32776.3, 26299.0, 79170.7, 84096.3, 89988.5, 93093, 0
210, 10, 3054, 3545, 32668.2, 21083.3, 79568.4, 87432.5, 94486.5, 94860, 0
220, 10, 3023, 3556, 32957.6, 25808.3, 79408.5, 86192.5, 95936.1, 96376, 0
230, 10, 3084, 3613, 32365.1, 22192.3, 79391.1, 85180.0, 90989.5, 99398, 0
240, 10, 3010, 3981, 33023.8, 23250.0, 79906.3, 89118.8, 104582.5, 115392, 0
250, 10, 3060, 3290, 32771.7, 24218.8, 78055.6, 86837.5, 282117.5, 3048284, 0
260, 10, 3040, 3735, 32761.1, 26419.5, 79812.5, 85430.0, 88495.0, 97637, 0
270, 10, 3046, 3637, 32616.1, 26379.4, 79731.9, 86635.0, 94988.5, 95683, 0
280, 10, 3061, 3983, 32726.5, 26439.6, 79520.3, 88019.5, 96234.7, 96600, 0
290, 10, 3066, 3826, 32488.1, 24663.5, 78628.3, 83771.3, 93233.5, 3036859, 0
300, 10, 3052, 3385, 32695.0, 26592.7, 79504.8, 88217.5, 94996.7, 243745, 0
310, 10, 3061, 3483, 32584.1, 26168.1, 79209.5, 82586.9, 96246.9, 96473, 0
320, 10, 3064, 3719, 32578.8, 23431.8, 79663.3, 87210.0, 98161.3, 98381, 0
330, 10, 3039, 3175, 32687.5, 19926.7, 78852.5, 87100.6, 3009990.3, 3024462, 0
340, 10, 3020, 3535, 33082.5, 26461.2, 79460.0, 85950.0, 93995.0, 235046, 0
350, 10, 3058, 3854, 32566.0, 26366.7, 79375.6, 86355.0, 93985.5, 102365, 0
360, 10, 3020, 3872, 33050.1, 26584.4, 79848.2, 82987.5, 92245.0, 97028, 0
370, 10, 3068, 3962, 32519.7, 26481.3, 79060.0, 81052.7, 85991.5, 90833, 0
380, 10, 3057, 3509, 32447.8, 24811.3, 79221.1, 86678.7, 101328.6, 3023579, 0
