elapsed, window, total, successful, failed
10, 10, 3026, 3026, 0
20, 10, 3060, 3060, 0
30, 10, 3062, 3062, 0
40, 10, 3037, 3037, 0
50, 10, 3039, 3039, 0
60, 10, 3056, 3056, 0
70, 10, 3019, 3019, 0
80, 10, 3046, 3046, 0
90, 10, 3081, 3081, 0
100, 10, 3039, 3039, 0
110, 10, 3045, 3045, 0
120, 10, 3051, 3051, 0
130, 10, 3039, 3039, 0
140, 10, 3022, 3022, 0
150, 10, 3031, 3031, 0
160, 10, 3064, 3064, 0
170, 10, 3037, 3037, 0
180, 10, 3059, 3059, 0
190, 10, 3034, 3034, 0
200, 10, 3046, 3046, 0
210, 10, 3054, 3054, 0
220, 10, 3023, 3023, 0
230, 10, 3084, 3084, 0
240, 10, 3010, 3010, 0
250, 10, 3060, 3060, 0
260, 10, 3040, 3040, 0
270, 10, 3046, 3046, 0
280, 10, 3061, 3061, 0
290, 10, 3066, 3066, 0
300, 10, 3052, 3052, 0
310, 10, 3061, 3061, 0
320, 10, 3064, 3064, 0
330, 10, 3039, 3039, 0
340, 10, 3020, 3020, 0
350, 10, 3058, 3058, 0
360, 10, 3020, 3020, 0
370, 10, 3068, 3068, 0
380, 10, 3057, 3057, 0
390, 10, 3039, 3039, 0
400, 10, 3003, 3003, 0
410, 10, 3035, 3035, 0
420, 10, 3040, 3040, 0
430, 10, 3026, 3026, 0
440, 10, 3062, 3062, 0
450, 10, 3029, 3029, 0
460, 10, 3046, 3046, 0
470, 10, 3058, 3058, 0
480, 10, 3059, 3059, 0
490, 10, 3053, 3053, 0
500, 10, 3082, 3082, 0
510, 10, 3059, 3059, 0
520, 10, 3027, 3027, 0
530, 10, 3020, 3020, 0
540, 10, 3067, 3067, 0
550, 10, 3044, 3044, 0
560, 10, 3041, 3041, 0
570, 10, 3068, 3068, 0
580, 10, 3024, 3024, 0
590, 10, 3042, 3042, 0
600, 10, 3034, 3034, 0
601, 1, 267, 267, 0
