elapsed, window, total, successful, failed
10, 10, 1230, 1230, 0
20, 10, 2006, 2006, 0
30, 10, 2231, 2231, 0
40, 10, 2845, 2845, 0
50, 10, 3127, 3127, 0
60, 10, 3100, 3100, 0
70, 10, 3634, 3634, 0
80, 10, 4538, 4538, 0
90, 10, 6941, 6941, 0
100, 10, 7443, 7443, 0
110, 10, 7518, 7518, 0
120, 10, 7794, 7794, 0
130, 10, 7908, 7908, 0
140, 10, 7706, 7706, 0
150, 10, 7933, 7933, 0
160, 10, 7901, 7901, 0
170, 10, 7871, 7871, 0
180, 10, 7757, 7757, 0
190, 10, 7909, 7909, 0
200, 10, 7859, 7859, 0
210, 10, 7721, 7721, 0
220, 10, 7655, 7655, 0
230, 10, 7779, 7779, 0
240, 10, 7813, 7813, 0
250, 10, 7804, 7804, 0
260, 10, 7967, 7967, 0
270, 10, 8012, 8012, 0
280, 10, 8037, 8037, 0
290, 10, 7809, 7809, 0
300, 10, 7905, 7905, 0
310, 10, 7895, 7895, 0
320, 10, 7844, 7844, 0
330, 10, 8070, 8070, 0
340, 10, 7562, 7562, 0
350, 10, 7948, 7948, 0
360, 10, 7848, 7848, 0
370, 10, 8084, 8084, 0
380, 10, 8002, 8002, 0
390, 10, 8019, 8019, 0
400, 10, 7826, 7826, 0
410, 10, 7993, 7993, 0
420, 10, 7991, 7991, 0
430, 10, 8092, 8092, 0
440, 10, 7779, 7779, 0
450, 10, 8178, 8178, 0
460, 10, 8025, 8025, 0
470, 10, 7954, 7954, 0
480, 10, 7951, 7951, 0
490, 10, 7979, 7979, 0
500, 10, 7857, 7857, 0
510, 10, 7923, 7923, 0
520, 10, 8028, 8028, 0
530, 10, 7949, 7949, 0
540, 10, 8184, 8184, 0
550, 10, 7920, 7920, 0
560, 10, 7753, 7753, 0
570, 10, 7915, 7915, 0
580, 10, 7948, 7948, 0
590, 10, 7934, 7934, 0
600, 10, 8064, 8064, 0
601, 1, 662, 662, 0
