elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 1475, 7187, 67530.4, 55468.8, 164562.5, 239062.5, 322131.3, 327484, 0
20, 10, 1987, 4685, 50301.1, 40625.0, 134706.2, 185032.5, 251253.2, 255576, 0
30, 10, 2396, 3816, 41745.1, 31160.7, 119050.0, 187260.0, 426901.0, 434765, 0
40, 10, 2910, 3588, 34342.1, 24890.6, 100541.7, 152987.5, 218022.5, 269850, 0
50, 10, 3321, 2957, 30148.7, 20965.3, 93662.5, 140473.8, 205169.8, 290958, 0
60, 10, 3685, 2877, 27083.3, 18114.1, 90218.8, 153537.5, 209539.4, 218058, 0
70, 10, 4051, 2538, 24690.6, 17265.0, 75204.2, 141061.2, 213237.3, 244937, 0
80, 10, 4965, 2201, 20086.9, 13429.1, 67645.8, 121337.5, 196008.7, 220063, 0
90, 10, 7026, 2034, 14205.9, 9750.0, 37529.2, 81435.0, 301493.5, 1088429, 0
100, 10, 8430, 1932, 11816.5, 8632.9, 31179.7, 56712.5, 89392.5, 132073, 0
110, 10, 8576, 1937, 11627.6, 8058.2, 32366.7, 61530.0, 105106.0, 131738, 0
120, 10, 9152, 1862, 10879.3, 8073.6, 29485.0, 49620.0, 83962.0, 223823, 0
130, 10, 9174, 1852, 10878.0, 8059.2, 29372.1, 48282.5, 68853.2, 155201, 0
140, 10, 8993, 1848, 11045.3, 8218.0, 29218.3, 51508.7, 75751.7, 111856, 0
150, 10, 8903, 1854, 11374.0, 8268.8, 29814.2, 48748.5, 168637.1, 186065, 0
160, 10, 9166, 1850, 10869.3, 7929.9, 29240.6, 50335.0, 150819.5, 214821, 0
170, 10, 9008, 1896, 11054.3, 8103.2, 29889.5, 52740.0, 84998.0, 215065, 0
180, 10, 9068, 1843, 10995.8, 7963.5, 29422.7, 49693.3, 83483.0, 217874, 0
190, 10, 9077, 1876, 10969.3, 8168.2, 28452.5, 47653.7, 67865.4, 210169, 0
200, 10, 8991, 1880, 11096.2, 8407.7, 29884.4, 49568.1, 76876.1, 81351, 0
210, 10, 9097, 1861, 10936.8, 8243.5, 28912.5, 47507.5, 76225.8, 156388, 0
220, 10, 9042, 1802, 11020.2, 8043.8, 29330.6, 49723.7, 81239.5, 114929, 0
230, 10, 9096, 1847, 10953.7, 8042.8, 29691.7, 50630.0, 85988.0, 121991, 0
240, 10, 9133, 1873, 10899.4, 8225.4, 28611.5, 47488.2, 69716.8, 107666, 0
250, 10, 8882, 1929, 11220.7, 8220.6, 29872.9, 52011.3, 89639.8, 138687, 0
260, 10, 8984, 1861, 11093.2, 8100.9, 29861.5, 50858.0, 87254.0, 99163, 0
270, 10, 9067, 1994, 10987.5, 8198.1, 29152.1, 50458.1, 85983.2, 123559, 0
