elapsed, window, total, successful, failed
10, 10, 1475, 1475, 0
20, 10, 1987, 1987, 0
30, 10, 2396, 2396, 0
40, 10, 2910, 2910, 0
50, 10, 3321, 3321, 0
60, 10, 3685, 3685, 0
70, 10, 4051, 4051, 0
80, 10, 4965, 4965, 0
90, 10, 7026, 7026, 0
100, 10, 8430, 8430, 0
110, 10, 8576, 8576, 0
120, 10, 9152, 9152, 0
130, 10, 9174, 9174, 0
140, 10, 8993, 8993, 0
150, 10, 8903, 8903, 0
160, 10, 9166, 9166, 0
170, 10, 9008, 9008, 0
180, 10, 9068, 9068, 0
190, 10, 9077, 9077, 0
200, 10, 8991, 8991, 0
210, 10, 9097, 9097, 0
220, 10, 9042, 9042, 0
230, 10, 9096, 9096, 0
240, 10, 9133, 9133, 0
250, 10, 8882, 8882, 0
260, 10, 8984, 8984, 0
270, 10, 9067, 9067, 0
280, 10, 9112, 9112, 0
290, 10, 9051, 9051, 0
300, 10, 9012, 9012, 0
310, 10, 8931, 8931, 0
320, 10, 9128, 9128, 0
330, 10, 9338, 9338, 0
340, 10, 9047, 9047, 0
350, 10, 9002, 9002, 0
360, 10, 8695, 8695, 0
370, 10, 8989, 8989, 0
380, 10, 8951, 8951, 0
390, 10, 9114, 9114, 0
400, 10, 8630, 8630, 0
410, 10, 8952, 8952, 0
420, 10, 9121, 9121, 0
430, 10, 8980, 8980, 0
440, 10, 9074, 9074, 0
450, 10, 9109, 9109, 0
460, 10, 8754, 8754, 0
470, 10, 9010, 9010, 0
480, 10, 9177, 9177, 0
490, 10, 9187, 9187, 0
500, 10, 9126, 9126, 0
510, 10, 9039, 9039, 0
520, 10, 9218, 9218, 0
530, 10, 9159, 9159, 0
540, 10, 8929, 8929, 0
550, 10, 8995, 8995, 0
560, 10, 9306, 9306, 0
570, 10, 9243, 9243, 0
580, 10, 9137, 9137, 0
590, 10, 9041, 9041, 0
600, 10, 8747, 8747, 0
601, 1, 653, 653, 0
