elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 1142, 9956, 216548.4, 147125.0, 465475.0, 1760645.0, 1827964.5, 1921708, 0
20, 10, 1683, 7783, 148532.4, 124812.5, 312731.3, 416292.5, 573579.3, 587760, 0
30, 10, 1929, 7285, 129787.0, 113075.0, 284137.5, 375427.5, 532517.8, 584247, 0
40, 10, 2251, 6164, 111327.3, 94937.5, 238556.2, 347122.5, 500437.2, 604163, 0
50, 10, 2293, 5175, 108126.0, 89303.6, 249837.5, 329517.5, 441426.7, 552194, 0
60, 10, 2429, 5083, 103203.2, 86725.0, 247129.2, 383677.5, 513892.7, 531856, 0
70, 10, 2790, 4345, 89891.1, 74812.5, 222625.0, 325275.0, 465552.5, 490374, 0
80, 10, 3140, 3455, 79912.6, 66333.3, 212250.0, 330650.0, 484215.0, 626736, 0
90, 10, 3451, 3355, 72245.1, 56718.8, 209362.5, 350436.2, 470387.3, 548353, 0
100, 10, 3519, 3835, 70776.1, 53552.1, 216262.5, 341452.5, 446370.3, 523411, 0
110, 10, 3762, 3074, 66619.5, 49222.2, 199725.0, 302845.0, 456309.5, 585397, 0
120, 10, 4046, 2858, 61814.9, 46437.5, 189212.5, 337635.0, 485988.5, 561705, 0
130, 10, 4174, 2948, 59720.3, 44350.0, 176825.0, 286065.0, 410456.5, 519412, 0
140, 10, 4307, 2750, 58055.4, 42151.3, 182581.2, 288241.3, 401423.3, 490502, 0
150, 10, 4981, 2575, 50159.6, 36902.8, 149243.7, 284773.7, 399504.8, 476671, 0
160, 10, 5086, 2507, 49199.9, 36814.8, 139175.0, 276035.0, 436728.5, 559560, 0
170, 10, 5345, 2425, 46755.5, 34762.9, 135718.8, 252887.5, 382913.7, 610089, 0
180, 10, 6213, 2314, 40185.5, 29032.1, 141293.7, 244233.7, 371696.8, 590047, 0
190, 10, 6842, 2202, 36424.6, 25405.6, 113975.0, 227197.5, 362539.5, 468159, 0
200, 10, 7320, 2234, 34220.1, 24883.3, 94000.0, 205950.0, 344670.0, 458482, 0
210, 10, 7561, 2243, 32928.9, 24265.2, 92987.5, 200847.5, 313859.8, 469830, 0
220, 10, 7853, 2159, 31795.3, 23639.7, 92067.5, 185867.5, 299286.8, 410056, 0
230, 10, 7762, 2103, 32142.9, 23700.0, 91225.0, 198345.0, 291809.5, 506447, 0
240, 10, 7839, 2145, 31874.4, 22842.9, 88315.6, 193902.5, 356040.3, 566387, 0
250, 10, 7881, 2059, 31659.7, 22910.4, 88412.5, 182273.7, 300779.7, 386652, 0
260, 10, 7612, 2156, 32765.5, 23857.1, 91200.0, 195235.0, 343847.0, 464983, 0
270, 10, 7810, 2304, 31947.5, 23241.9, 89395.8, 191725.0, 399297.5, 470056, 0
280, 10, 7892, 2161, 31636.6, 22691.4, 84675.0, 178770.0, 379777.0, 551411, 0
290, 10, 7984, 2071, 31216.2, 23027.8, 86190.0, 167540.0, 373254.0, 499255, 0
300, 10, 7961, 2067, 31351.5, 22067.9, 86487.5, 174097.5, 427759.7, 540149, 0
310, 10, 7831, 2233, 31881.1, 21914.4, 84222.5, 205672.5, 424542.2, 569206, 0
320, 10, 7828, 2163, 31830.4, 23510.4, 81716.7, 180180.0, 343146.5, 474437, 0
330, 10, 7857, 2197, 31754.2, 23092.9, 85768.7, 194607.5, 376535.8, 519093, 0
340, 10, 7902, 2140, 31553.1, 23172.2, 87618.7, 192747.5, 362274.5, 441893, 0
350, 10, 7783, 2056, 32090.2, 24345.4, 88856.2, 184042.5, 285304.2, 412934, 0
360, 10, 7941, 2159, 31399.2, 23257.4, 90493.7, 195897.5, 344014.8, 398389, 0
