elapsed, window, total, successful, failed
10, 10, 3780, 3780, 0
20, 10, 3909, 3909, 0
30, 10, 3797, 3797, 0
40, 10, 3754, 3754, 0
50, 10, 3832, 3832, 0
60, 10, 3728, 3728, 0
70, 10, 3746, 3746, 0
80, 10, 3743, 3743, 0
90, 10, 4004, 4004, 0
100, 10, 3916, 3916, 0
110, 10, 3935, 3935, 0
120, 10, 3665, 3665, 0
130, 10, 3891, 3891, 0
140, 10, 3702, 3702, 0
150, 10, 3887, 3887, 0
160, 10, 3722, 3722, 0
170, 10, 3731, 3731, 0
180, 10, 3773, 3773, 0
190, 10, 3900, 3900, 0
200, 10, 3905, 3905, 0
210, 10, 4020, 4020, 0
220, 10, 3984, 3984, 0
230, 10, 3985, 3985, 0
240, 10, 3810, 3810, 0
250, 10, 3887, 3887, 0
260, 10, 3802, 3802, 0
270, 10, 3935, 3935, 0
280, 10, 4024, 4024, 0
290, 10, 3936, 3936, 0
300, 10, 3958, 3958, 0
310, 10, 3909, 3909, 0
320, 10, 3997, 3997, 0
330, 10, 3985, 3985, 0
340, 10, 3944, 3944, 0
350, 10, 3986, 3986, 0
360, 10, 3853, 3853, 0
370, 10, 3941, 3941, 0
380, 10, 3984, 3984, 0
390, 10, 3844, 3844, 0
400, 10, 3905, 3905, 0
410, 10, 3807, 3807, 0
420, 10, 3697, 3697, 0
430, 10, 3757, 3757, 0
440, 10, 3931, 3931, 0
450, 10, 4025, 4025, 0
460, 10, 3987, 3987, 0
470, 10, 3971, 3971, 0
480, 10, 3820, 3820, 0
490, 10, 3896, 3896, 0
500, 10, 4023, 4023, 0
510, 10, 3995, 3995, 0
520, 10, 3896, 3896, 0
530, 10, 4051, 4051, 0
540, 10, 3919, 3919, 0
550, 10, 4016, 4016, 0
560, 10, 4057, 4057, 0
570, 10, 4027, 4027, 0
580, 10, 4021, 4021, 0
590, 10, 3915, 3915, 0
600, 10, 3939, 3939, 0
601, 1, 376, 376, 0
