elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10, 10, 1230, 8392, 80967.5, 51437.5, 196875.0, 454175.0, 1537692.5, 1550845, 0
20, 10, 2006, 4742, 49826.0, 41861.1, 114675.0, 163735.0, 278748.5, 353892, 0
30, 10, 2231, 4832, 44862.1, 34984.4, 113037.5, 176172.5, 790942.2, 838880, 0
40, 10, 2845, 3686, 35149.0, 26276.8, 95093.8, 166318.8, 217788.8, 233016, 0
50, 10, 3127, 3947, 31956.0, 24788.0, 88228.1, 130432.5, 201984.1, 307373, 0
60, 10, 3100, 3302, 32151.1, 21812.5, 95000.0, 159500.0, 661975.0, 963916, 0
70, 10, 3634, 3005, 27511.3, 19202.4, 87037.5, 135638.3, 464841.5, 507870, 0
80, 10, 4538, 2279, 21991.6, 14621.8, 72275.0, 125155.0, 223615.5, 299246, 0
90, 10, 6941, 2225, 14395.4, 10825.3, 35569.6, 66698.8, 148764.8, 256157, 0
100, 10, 7443, 2200, 13387.8, 10357.0, 33269.3, 56714.2, 104139.2, 120216, 0
110, 10, 7518, 2143, 13263.9, 9784.9, 34105.0, 60955.0, 94620.5, 143139, 0
120, 10, 7794, 2117, 12800.2, 9957.5, 30155.0, 53015.0, 83801.5, 244608, 0
130, 10, 7908, 2124, 12592.7, 9684.5, 31350.0, 55826.7, 84273.0, 106509, 0
140, 10, 7706, 2116, 12937.1, 10074.7, 30865.6, 59735.0, 83073.5, 92224, 0
150, 10, 7933, 2062, 12554.2, 9670.8, 30870.8, 55167.5, 79766.8, 208437, 0
160, 10, 7901, 2121, 12632.0, 9675.0, 30915.3, 57373.7, 84274.8, 129187, 0
170, 10, 7871, 2060, 12661.1, 9671.0, 30153.7, 58764.5, 92282.2, 141269, 0
180, 10, 7757, 2165, 12849.3, 9930.6, 32012.5, 57119.2, 84405.4, 114147, 0
190, 10, 7909, 2104, 12610.0, 9768.5, 30944.3, 55613.7, 85522.8, 111176, 0
200, 10, 7859, 2105, 12674.4, 9589.6, 31806.9, 55801.2, 96285.2, 148755, 0
210, 10, 7721, 2132, 12905.6, 9486.1, 33391.1, 60598.7, 97319.7, 121176, 0
220, 10, 7655, 2132, 13025.9, 9992.6, 31531.3, 55181.2, 190836.3, 210361, 0
230, 10, 7779, 2140, 12816.2, 9840.4, 30668.1, 57276.3, 98305.2, 158806, 0
240, 10, 7813, 2176, 12759.8, 9690.7, 32135.9, 59239.2, 94546.7, 114326, 0
250, 10, 7804, 2184, 12758.9, 9671.2, 31337.5, 55740.0, 90299.0, 150703, 0
260, 10, 7967, 2055, 12514.4, 10043.7, 30370.6, 49944.2, 84258.3, 214283, 0
270, 10, 8012, 2099, 12443.9, 9690.8, 30266.7, 53985.0, 78247.0, 110826, 0
280, 10, 8037, 2021, 12393.4, 9742.6, 30178.7, 51407.5, 80990.7, 115463, 0
290, 10, 7809, 2071, 12769.4, 10050.3, 30913.7, 53613.7, 96547.7, 120309, 0
300, 10, 7905, 2111, 12620.9, 9584.7, 29911.5, 59912.5, 96773.8, 148831, 0
310, 10, 7895, 2085, 12637.4, 10001.6, 29831.3, 55253.1, 88263.1, 119240, 0
320, 10, 7844, 2222, 12713.7, 9800.0, 32400.0, 58320.0, 87769.5, 99818, 0
330, 10, 8070, 2062, 12347.2, 9784.9, 30009.6, 50325.0, 74994.2, 109204, 0
340, 10, 7562, 2055, 13174.5, 9601.6, 32658.3, 65845.0, 200859.5, 211851, 0
350, 10, 7948, 2037, 12554.7, 9585.0, 30809.1, 57976.0, 86513.0, 116085, 0
360, 10, 7848, 2154, 12702.5, 9591.8, 31775.0, 58940.0, 90288.0, 110612, 0
370, 10, 8084, 2073, 12329.5, 9359.5, 29950.0, 58513.3, 95239.5, 225399, 0
380, 10, 8002, 2078, 12451.8, 9557.2, 31710.7, 51622.5, 78749.7, 104018, 0
390, 10, 8019, 2078, 12431.8, 9610.7, 31043.7, 53702.5, 86745.2, 118691, 0
400, 10, 7826, 2083, 12732.9, 9669.9, 32792.5, 54478.3, 95293.5, 137270, 0
410, 10, 7993, 2188, 12478.0, 9589.2, 30731.9, 57339.2, 94251.7, 128237, 0
420, 10, 7991, 2113, 12467.2, 9476.6, 30076.6, 59174.2, 92252.3, 108658, 0
430, 10, 8092, 2110, 12301.9, 9332.3, 29572.7, 57067.5, 94363.5, 114940, 0
440, 10, 7779, 2110, 12837.9, 9318.5, 33543.7, 64802.5, 92055.2, 138446, 0
450, 10, 8178, 2072, 12188.8, 9438.5, 30078.8, 56388.8, 80455.5, 106770, 0
